title,link,link_type,published,summary
Is An Election Vibe Shift Underway?,https://www.podtrac.com/pts/redirect.mp3/pscrb.fm/rss/p/traffic.megaphone.fm/ESP8053095433.mp3?updated=1711402661,audio/mpeg,"Mon, 25 Mar 2024 21:37:52 -0000","Is the presidential election undergoing a vibe shift? At the beginning of the month, former President Donald Trump was performing 10 percentage points better than President Joe Biden in net approval rating. Today that’s fallen to a 4-point advantage. In this installment of the 538 Politics podcast, the crew assesses what's changed. They also ask why so many representatives in the House are resigning earlier on in their careers and they take a look at a new poll showing Republican Larry Hogan leading in the Maryland Senate race by double digits.
Learn more about your ad choices. Visit megaphone.fm/adchoices"
538 Debate Club: Should TikTok Be Banned?,https://www.podtrac.com/pts/redirect.mp3/pscrb.fm/rss/p/traffic.megaphone.fm/ESP7780379791.mp3?updated=1711055165,audio/mpeg,"Thu, 21 Mar 2024 21:07:44 -0000","Last week, the House of Representatives passed a bipartisan bill that would ban TikTok unless its owner, the Chinese company ByteDance, sells its stake in the app. This decision has ignited a national debate about TikTok and the effects of social media. So, in true 538 fashion, we’re reintroducing a segment we like to call ‘Debate Club’ to discuss the issue. In this installment of the 538 Politics podcast, Senior Elections Analyst Geoffrey Skelley, Podcast Intern Jala Everett, and Senior Editor and Senior Elections Analyst Nathaniel Rakich engage in a spirited debate. They'll defend their arguments on whether to ban TikTok, maintain the status quo or even consider banning social media altogether.
Learn more about your ad choices. Visit megaphone.fm/adchoices"
How Worried Should Democrats Be About The Polls?,https://www.podtrac.com/pts/redirect.mp3/pscrb.fm/rss/p/traffic.megaphone.fm/ESP1433401020.mp3?updated=1710799014,audio/mpeg,"Mon, 18 Mar 2024 21:55:13 -0000","The presidential candidates are trying to crowd us out of the polling analysis business with their own takes on the polls! In this installment of the 538 Politics podcast, the crew assesses whether President Joe Biden's dismissal of polls because of declining response rates is fair.
They also reexamine a viral poll from late last year that suggested 20 percent of young Americans think the Holocaust is a myth. It turned out to likely be bogus. And they preview Tuesday's primary in Ohio that will determine which Republican runs against Democratic Sen. Sherrod Brown.
Learn more about your ad choices. Visit megaphone.fm/adchoices"
Do Campaign Stops Actually Matter?,https://www.podtrac.com/pts/redirect.mp3/pscrb.fm/rss/p/traffic.megaphone.fm/ESP5194267741.mp3?updated=1710451702,audio/mpeg,"Thu, 14 Mar 2024 21:22:51 -0000","After Tuesday’s primaries, President Joe Biden and former President Donald Trump have mathematically clinched their parties’ nominations. And now, it’s off to the races. Over the past week, Biden has made campaign stops in Pennsylvania, Georgia, New Hampshire, Michigan and Wisconsin. Trump was also in Georgia last weekend and he’ll be in Ohio on Saturday.
These kinds of campaign stops are a cornerstone of presidential campaigns and we can expect a lot more of them between now and November. There’s only one problem: According to political scientist Chris Devine, they don’t actually work. At least, not all that well and not in the ways you’d expect. In this installment of the 538 Politics podcast, Devine talks about his recently published book called, “I’m Here to Ask for Your Vote: How Presidential Campaign Visits Influence Voters.""
Learn more about your ad choices. Visit megaphone.fm/adchoices"
Does Gen Z Really Care More About That Viral TikTok Than Politics?,https://www.podtrac.com/pts/redirect.mp3/pscrb.fm/rss/p/traffic.megaphone.fm/ESP4381014855.mp3?updated=1710259107,audio/mpeg,"Mon, 11 Mar 2024 23:24:00 -0000","The general election has begun in earnest and in this installment of the 538 Politics podcast, the crew assesses how the country is feeling about it with a game of “Guess What Americans Think.” What percentage of Americans think the country is on the right track? Or that their preferred candidate will win?
They also ask whether a poll suggesting that Gen Z voters are paying more attention to viral TikToks than the Alabama Supreme Court ruling on in vitro fertilization is a “good or bad use of polling.”
--
Sponsor Message: Secure your privacy with Surfshark! Enter coupon code FIVE38 for an extra 3 months free at https://surfshark.deals/FIVE38
Learn more about your ad choices. Visit megaphone.fm/adchoices"
A Very Political State Of The Union,https://www.podtrac.com/pts/redirect.mp3/pscrb.fm/rss/p/traffic.megaphone.fm/ESP5514949025.mp3?updated=1709889230,audio/mpeg,"Fri, 08 Mar 2024 09:09:15 -0000","In this late night installment of the 538 Politics podcast, the crew reacts to President Biden's State of the Union speech and Alabama Sen. Katie Britt's rebuttal. Both put top 2024 campaign issue front and center.
Learn more about your ad choices. Visit megaphone.fm/adchoices"
Super Tuesday Brings A Couple Surprises,https://www.podtrac.com/pts/redirect.mp3/pscrb.fm/rss/p/traffic.megaphone.fm/ESP5676937877.mp3?updated=1709718555,audio/mpeg,"Wed, 06 Mar 2024 09:46:14 -0000","In a late-night podcast, the crew reacts to the Super Tuesday results, including a win by former U.N. Ambassador Nikki Haley in Vermont and a win by entrepreneur Jason Palmer in American Samoa.
Learn more about your ad choices. Visit megaphone.fm/adchoices"
What To Watch For On Super Tuesday,https://www.podtrac.com/pts/redirect.mp3/pscrb.fm/rss/p/traffic.megaphone.fm/ESP8191713600.mp3?updated=1709599227,audio/mpeg,"Tue, 05 Mar 2024 00:37:47 -0000","Super Tuesday is upon us. In this installment of the 538 Politics podcast, the crew previews what we can expect and debates whether any of it really matters. Later in the show, Atlanta Journal-Constitution Washington Correspondent Tia Mitchell joins and they turn their focus to Washington, D.C., to discuss Senate Minority Leader Mitch McConnell’s announcement that he will soon step down as head of the Senate Republican Conference and how Congress is responding to the recent ruling by the Alabama Supreme Court regarding in vitro fertilization.
Learn more about your ad choices. Visit megaphone.fm/adchoices"
What To Make Of The Protest Votes In Michigan,https://www.podtrac.com/pts/redirect.mp3/pscrb.fm/rss/p/traffic.megaphone.fm/ESP8389596321.mp3?updated=1709159138,audio/mpeg,"Wed, 28 Feb 2024 22:23:24 -0000","The Michigan primary resulted in easy victories for both former president Donald Trump and President Joe Biden, but it also laid bare some discontent in both parties. In this installment of the 538 Politics podcast, Galen speaks with Bridge Michigan politics reporter Jonathan Oosting, POLITICO senior Washington correspondent and co-author of Playbook Rachael Bade, and 538 director of data analytics G. Elliott Morris about Trump's and Biden's vulnerabilities within their own parties. Later in the show the crew turns its focus to Washington to discuss the looming partial government shutdown and how immigration is continuing to grow as a key issue for voters. They also question whether a recent poll using pictures of Robert F. Kennedy Jr. is a ""good or bad use of polling?”
Learn more about your ad choices. Visit megaphone.fm/adchoices"
"After South Carolina Loss, What Is Nikki Haley's Plan?",https://www.podtrac.com/pts/redirect.mp3/pscrb.fm/rss/p/traffic.megaphone.fm/ESP5795671080.mp3?updated=1708886776,audio/mpeg,"Sun, 25 Feb 2024 18:42:32 -0000","In a late-night edition of the 538 Politics podcast, the crew reacts to former President Donald Trump's win in South Carolina and asks what former U.N. Ambassador Nikki Haley's plan is going forward.
Learn more about your ad choices. Visit megaphone.fm/adchoices"
