title,link,link_type,published,summary
581. What Both Parties Get Wrong About Immigration,https://freakonomics.com,text/html,"Thu, 21 Mar 2024 03:00:00 +0000","The U.S. immigration system is a massively complicated machine, with a lot of worn-out parts. How to fix it? Step one: Get hold of some actual facts and evidence. (We did this step for you.) (Part two of a three-part series.)"
581. What Both Parties Get Wrong About Immigration,https://chtbl.com/track/736CG3/pdst.fm/e/stitcher.simplecastaudio.com/2be48404-a43c-4fa8-a32c-760a3216272e/episodes/a1efb2f5-46ab-4bc7-a0de-270a13e7d6f0/audio/128/default.mp3?aid=rss_feed&awCollectionId=2be48404-a43c-4fa8-a32c-760a3216272e&awEpisodeId=a1efb2f5-46ab-4bc7-a0de-270a13e7d6f0&feed=Y8lFbOT4,audio/mpeg,"Thu, 21 Mar 2024 03:00:00 +0000","The U.S. immigration system is a massively complicated machine, with a lot of worn-out parts. How to fix it? Step one: Get hold of some actual facts and evidence. (We did this step for you.) (Part two of a three-part series.)"
Extra: Madeleine Albright’s Warning on Immigration,https://freakonomics.com,text/html,"Mon, 18 Mar 2024 04:05:00 +0000","She arrived in the U.S. as an 11-year-old refugee, then rose to become Secretary of State. Her views on immigration, nationalism, and borders, from this 2015 interview, are almost strangely appropriate to the present moment."
Extra: Madeleine Albright’s Warning on Immigration,https://chtbl.com/track/736CG3/pdst.fm/e/stitcher.simplecastaudio.com/2be48404-a43c-4fa8-a32c-760a3216272e/episodes/439845a0-e4e3-4cce-832d-b700275eea28/audio/128/default.mp3?aid=rss_feed&awCollectionId=2be48404-a43c-4fa8-a32c-760a3216272e&awEpisodeId=439845a0-e4e3-4cce-832d-b700275eea28&feed=Y8lFbOT4,audio/mpeg,"Mon, 18 Mar 2024 04:05:00 +0000","She arrived in the U.S. as an 11-year-old refugee, then rose to become Secretary of State. Her views on immigration, nationalism, and borders, from this 2015 interview, are almost strangely appropriate to the present moment."
580. The True Story of America’s Supremely Messed-Up Immigration System,https://freakonomics.com,text/html,"Thu, 14 Mar 2024 03:00:00 +0000","How did a nation of immigrants come to hate immigration? We start at the beginning, sort through the evidence, and explain why your grandfather was lying about Ellis Island. (Part one of a three-part series.)"
580. The True Story of America’s Supremely Messed-Up Immigration System,https://chtbl.com/track/736CG3/pdst.fm/e/stitcher.simplecastaudio.com/2be48404-a43c-4fa8-a32c-760a3216272e/episodes/28f4e8e3-323b-4b71-8f57-3e932f3f1f07/audio/128/default.mp3?aid=rss_feed&awCollectionId=2be48404-a43c-4fa8-a32c-760a3216272e&awEpisodeId=28f4e8e3-323b-4b71-8f57-3e932f3f1f07&feed=Y8lFbOT4,audio/mpeg,"Thu, 14 Mar 2024 03:00:00 +0000","How did a nation of immigrants come to hate immigration? We start at the beginning, sort through the evidence, and explain why your grandfather was lying about Ellis Island. (Part one of a three-part series.)"
579. Are You Caught in a Social Media Trap?,https://freakonomics.com,text/html,"Thu, 7 Mar 2024 04:00:00 +0000","Economists have discovered an odd phenomenon: many people who use social media (even you, maybe?) wish it didn’t exist. But that doesn’t mean they can escape."
579. Are You Caught in a Social Media Trap?,https://chtbl.com/track/736CG3/pdst.fm/e/stitcher.simplecastaudio.com/2be48404-a43c-4fa8-a32c-760a3216272e/episodes/cc52b092-bd1d-41ba-9bb8-bc210066cd57/audio/128/default.mp3?aid=rss_feed&awCollectionId=2be48404-a43c-4fa8-a32c-760a3216272e&awEpisodeId=cc52b092-bd1d-41ba-9bb8-bc210066cd57&feed=Y8lFbOT4,audio/mpeg,"Thu, 7 Mar 2024 04:00:00 +0000","Economists have discovered an odd phenomenon: many people who use social media (even you, maybe?) wish it didn’t exist. But that doesn’t mean they can escape."
Extra: What Is Sportswashing — and Does It Work? (Update),https://freakonomics.com,text/html,"Mon, 4 Mar 2024 05:05:00 +0000","In ancient Rome, it was bread and circuses. Today, it’s a World Cup, an Olympics, and a new Saudi-backed golf league that’s challenging the PGA Tour. Can a sporting event really repair a country’s reputation — or will it trigger the dreaded Streisand Effect? Also: why the major U.S. sports leagues are warming up to the idea of foreign investment."
Extra: What Is Sportswashing — and Does It Work? (Update),https://chtbl.com/track/736CG3/pdst.fm/e/stitcher.simplecastaudio.com/2be48404-a43c-4fa8-a32c-760a3216272e/episodes/cb5dbc4c-9717-42f8-ade6-38b287f3f659/audio/128/default.mp3?aid=rss_feed&awCollectionId=2be48404-a43c-4fa8-a32c-760a3216272e&awEpisodeId=cb5dbc4c-9717-42f8-ade6-38b287f3f659&feed=Y8lFbOT4,audio/mpeg,"Mon, 4 Mar 2024 05:05:00 +0000","In ancient Rome, it was bread and circuses. Today, it’s a World Cup, an Olympics, and a new Saudi-backed golf league that’s challenging the PGA Tour. Can a sporting event really repair a country’s reputation — or will it trigger the dreaded Streisand Effect? Also: why the major U.S. sports leagues are warming up to the idea of foreign investment."
