title,link,link_type,published,summary
UN passes 'immediate' Gaza ceasefire resolution,http://open.live.bbc.co.uk/mediaselector/6/redir/version/2.0/mediaset/audio-nondrm-download-low/proto/http/vpid/p0hlw6ym.mp3,audio/mpeg,"Tue, 26 Mar 2024 00:02:00 +0000","<p>It's the first time the Security Council has called for a ceasefire between Israel and Hamas since the war began in October. Also: Donald Trump wins more time to post bond in his New York fraud case, but fails in his attempt to delay his criminal trial over alleged hush money payments, and the Oscar winning British actress Olivia Colman on why she would be paid much more if her name was Oliver.</p>"
UN passes 'immediate' Gaza ceasefire resolution,http://www.bbc.co.uk/programmes/p0hlw9mn,text/html,"Tue, 26 Mar 2024 00:02:00 +0000","<p>It's the first time the Security Council has called for a ceasefire between Israel and Hamas since the war began in October. Also: Donald Trump wins more time to post bond in his New York fraud case, but fails in his attempt to delay his criminal trial over alleged hush money payments, and the Oscar winning British actress Olivia Colman on why she would be paid much more if her name was Oliver.</p>"
French President urges Russia not to exploit the Islamist attack in Moscow,http://open.live.bbc.co.uk/mediaselector/6/redir/version/2.0/mediaset/audio-nondrm-download-low/proto/http/vpid/p0hlt16k.mp3,audio/mpeg,"Mon, 25 Mar 2024 15:44:00 +0000","<p>President Emmanuel Macron warns Russia against trying to blame Ukraine for deadly militant attack on a Moscow concert venue.  Also: Apple, Alphabet, and Google to be investigated by the EU, and scientists to hunt for mysterious 'ghost' particles.</p>"
French President urges Russia not to exploit the Islamist attack in Moscow,http://www.bbc.co.uk/programmes/p0hlt3n3,text/html,"Mon, 25 Mar 2024 15:44:00 +0000","<p>President Emmanuel Macron warns Russia against trying to blame Ukraine for deadly militant attack on a Moscow concert venue.  Also: Apple, Alphabet, and Google to be investigated by the EU, and scientists to hunt for mysterious 'ghost' particles.</p>"
Russia mourns victims of concert hall attack,http://open.live.bbc.co.uk/mediaselector/6/redir/version/2.0/mediaset/audio-nondrm-download-low/proto/http/vpid/p0hlnq83.mp3,audio/mpeg,"Mon, 25 Mar 2024 00:03:00 +0000","<p>People queued to lay flowers at a makeshift shrine to the victims of the atrocity. Two men have been charged with committing an act of terrorism. Also: In a rare audio statement, the reclusive leader of the Afghan Taliban warns that the movement will toughen how they enforce their version of Islamic law, and Senegal holds its delayed Presidential poll peacefully.</p>"
Russia mourns victims of concert hall attack,http://www.bbc.co.uk/programmes/p0hlnqk6,text/html,"Mon, 25 Mar 2024 00:03:00 +0000","<p>People queued to lay flowers at a makeshift shrine to the victims of the atrocity. Two men have been charged with committing an act of terrorism. Also: In a rare audio statement, the reclusive leader of the Afghan Taliban warns that the movement will toughen how they enforce their version of Islamic law, and Senegal holds its delayed Presidential poll peacefully.</p>"
Zelensky: Putin diverting blame for Moscow massacre,http://open.live.bbc.co.uk/mediaselector/6/redir/version/2.0/mediaset/audio-nondrm-download-low/proto/http/vpid/p0hlk398.mp3,audio/mpeg,"Sat, 23 Mar 2024 23:57:00 +0000","<p>Ukraine's president Volodymyr Zelensky says it's 'absolutely predictable' Russia would seek to divert blame for Friday's shooting attack near Moscow. Russia's president Vladimir Putin implicated Ukraine in a televised address, as the death toll rises to 133. Also: Hamas says 19 people were killed while queuing for aid in Gaza, and why onions are proving to be a key issue ahead of India's election.</p>"
Zelensky: Putin diverting blame for Moscow massacre,http://www.bbc.co.uk/programmes/p0hlk4k1,text/html,"Sat, 23 Mar 2024 23:57:00 +0000","<p>Ukraine's president Volodymyr Zelensky says it's 'absolutely predictable' Russia would seek to divert blame for Friday's shooting attack near Moscow. Russia's president Vladimir Putin implicated Ukraine in a televised address, as the death toll rises to 133. Also: Hamas says 19 people were killed while queuing for aid in Gaza, and why onions are proving to be a key issue ahead of India's election.</p>"
Moscow attackers tried to flee to Ukraine - Putin,http://open.live.bbc.co.uk/mediaselector/6/redir/version/2.0/mediaset/audio-nondrm-download-low/proto/http/vpid/p0hlhnsl.mp3,audio/mpeg,"Sat, 23 Mar 2024 14:40:00 +0000","<p>The Russian president says people in Ukraine were ready to help the gunmen flee accross the border before they were arrested by Russian authorities. Ukraine has denied any involvement. Also: the role of social media in the Princess of Wales' revelation of cancer treatment, and the personal story behind the rap sensation, Lil Nas X.</p>"
Moscow attackers tried to flee to Ukraine - Putin,http://www.bbc.co.uk/programmes/p0hlhnzn,text/html,"Sat, 23 Mar 2024 14:40:00 +0000","<p>The Russian president says people in Ukraine were ready to help the gunmen flee accross the border before they were arrested by Russian authorities. Ukraine has denied any involvement. Also: the role of social media in the Princess of Wales' revelation of cancer treatment, and the personal story behind the rap sensation, Lil Nas X.</p>"
The Happy Pod: Finland named world's happiest country... again,http://open.live.bbc.co.uk/mediaselector/6/redir/version/2.0/mediaset/audio-nondrm-download-low/proto/http/vpid/p0hlc945.mp3,audio/mpeg,"Sat, 23 Mar 2024 12:01:00 +0000","<p>This week, Finland has been voted the happiest country in the world for the seventh year running, we find out why. Also: The mountain rescue team who survived a helicopter crash and saved a man stranded in a crevasse. And ding dong, who's there, a fish!</p>"
The Happy Pod: Finland named world's happiest country... again,http://www.bbc.co.uk/programmes/p0hlcd6l,text/html,"Sat, 23 Mar 2024 12:01:00 +0000","<p>This week, Finland has been voted the happiest country in the world for the seventh year running, we find out why. Also: The mountain rescue team who survived a helicopter crash and saved a man stranded in a crevasse. And ding dong, who's there, a fish!</p>"
"Catherine, Princess of Wales, reveals cancer diagnosis",http://open.live.bbc.co.uk/mediaselector/6/redir/version/2.0/mediaset/audio-nondrm-download-low/proto/http/vpid/p0hldn78.mp3,audio/mpeg,"Fri, 22 Mar 2024 21:45:00 +0000","<p>The Princess of Wales revealed she is undergoing chemotherapy after receiving major abdominal surgery in January. It follows weeks of speculation about her wellbeing. Also: at least 40 people have been killed after a shooting at a Moscow concert hall, and there are further signs of a growing rift between Israel and its strongest ally, the United States, over the war in Gaza.</p>"
"Catherine, Princess of Wales, reveals cancer diagnosis",http://www.bbc.co.uk/programmes/p0hldnm6,text/html,"Fri, 22 Mar 2024 21:45:00 +0000","<p>The Princess of Wales revealed she is undergoing chemotherapy after receiving major abdominal surgery in January. It follows weeks of speculation about her wellbeing. Also: at least 40 people have been killed after a shooting at a Moscow concert hall, and there are further signs of a growing rift between Israel and its strongest ally, the United States, over the war in Gaza.</p>"
Blackouts across Ukraine after wave of Russian strikes,http://open.live.bbc.co.uk/mediaselector/6/redir/version/2.0/mediaset/audio-nondrm-download-low/proto/http/vpid/p0hlb1dl.mp3,audio/mpeg,"Fri, 22 Mar 2024 15:16:00 +0000","<p>Up to a million people left without power after Russian missiles targeted energy infrastructure. Also: Russia and China block US call for immediate Gaza ceasefire at UN, and the real reason your baby smells nice, while your teenager doesn't.</p>"
Blackouts across Ukraine after wave of Russian strikes,http://www.bbc.co.uk/programmes/p0hlb2zk,text/html,"Fri, 22 Mar 2024 15:16:00 +0000","<p>Up to a million people left without power after Russian missiles targeted energy infrastructure. Also: Russia and China block US call for immediate Gaza ceasefire at UN, and the real reason your baby smells nice, while your teenager doesn't.</p>"
Blinken says US still pushing for Gaza ceasefire deal,http://open.live.bbc.co.uk/mediaselector/6/redir/version/2.0/mediaset/audio-nondrm-download-low/proto/http/vpid/p0hl628y.mp3,audio/mpeg,"Fri, 22 Mar 2024 01:11:00 +0000","<p>The US Secretary of State Antony Blinken, was speaking in Cairo after talks with senior ministers from Arab countries. Also: US government accuses Apple of monopolising smartphone market, and first-ever pig kidney transplant into a living human hailed a success.</p>"
