title,link,link_type,published,summary
Alchemy with Brian Cotnoir,https://podcasters.spotify.com/pod/show/hermitix/episodes/Alchemy-with-Brian-Cotnoir-e2h1clc,text/html,"Wed, 20 Mar 2024 17:00:00 GMT","<p>Brian Cotnoir is an alchemist, artist and award-winning filmmaker.</p>
<p>Brian's website: <a href=""http://KhepriPress.com"" rel=""noreferrer nofollow noopener"" target=""_blank"">KhepriPress.com</a></p>
<p>To join the mailing list for Brian's talks and new work please <a href=""http://eepurl.com/garCjT"" rel=""noreferrer nofollow noopener"" target=""_blank"">SIgn Up Here</a> </p>
<p><em>My book </em><a href=""https://khepripress.com/the-weiser-concise-guide-to-alchemy/"" rel=""noreferrer nofollow noopener"" target=""_blank"">Alchemy: The Poetry of Matter</a><em> </em>and the <a href=""https://khepripress.com/order/"" rel=""noreferrer nofollow noopener"" target=""_blank"">Zines</a> may be purchased through my website or in England and Europe through <a href=""https://www.watkinsbooks.com"" rel=""noreferrer nofollow noopener"" target=""_blank"">Watkins Bookstore in London</a> or <a href=""http://Iglootree.com"" rel=""noreferrer nofollow noopener"" target=""_blank"">Iglootree.com</a></p>
<p>These are the Watkins and Wieser books:</p>
<p><a href=""https://www.amazon.com/Alchemy-Essential-Practices-Making-Art/dp/1786787709"" rel=""noreferrer nofollow noopener"" target=""_blank"">On Alchemy: Essential Practices and Making Art as Alchemy</a></p>
<p><a href=""https://www.amazon.com/Practical-Alchemy-Guide-Great-Work/dp/1578637473"" rel=""noreferrer nofollow noopener"" target=""_blank"">Practical Alchemy: A Guide to the Great Work</a></p>
<p>If folks are in NYC April 25 -28 I will be at the <a href=""https://www.printedmatter.org/programs/4-art-book-fairs"" rel=""noreferrer nofollow noopener"" target=""_blank"">New York Art Book Fair.</a></p>
<p>---</p>
<p>Become part of the Hermitix community:</p>
<p>
Hermitix Twitter - <a href=""https://www.youtube.com/redirect?event=video_description&amp;redir_token=QUFFLUhqa0t6VWtXMC1JcWVHNE1ET0k3dHhPVmtiWE1rZ3xBQ3Jtc0tudEdBalB6UGt1TTFKTGRfSy02Q2xuSEREUDFiOVJCSnlrUU1ERkxROHlJcy05LVc2bXV0TkwxWG44b0plaDNIUmtrbTlDZ182UklMcmtwQXpyUlJtckNyengzX1FvOGhyVjFlcWJETnNEMVJPNkpTMA&amp;q=https%3A%2F%2Ftwitter.com%2FHermitixpodcast&amp;v=afm7FrIpVtg"">⁠⁠⁠⁠⁠https://twitter.com/Hermitixpodcast⁠⁠⁠⁠⁠</a></p>
<p>
Support Hermitix:</p>
<p>
Patreon - <a href=""https://www.youtube.com/redirect?event=video_description&amp;redir_token=QUFFLUhqazZmWTVsTnJkem1fNGVlMEVBdUtLRTJJR0JnQXxBQ3Jtc0tsSGllUE9WdnJZZUNxZVJTcEVDVEtpQ28zRXc2VXFJNDR0TnljaDlfT1d6T0RmQTJWTk9YdVRSYnU4aDdwa1ZkY292VVExVXRoOWczMVpJc1VvektyWUp0S1duaFIxSzVkV0hTeVU1NURqSk5ObC1icw&amp;q=https%3A%2F%2Fwww.patreon.com%2Fhermitix&amp;v=afm7FrIpVtg"">⁠⁠⁠⁠⁠https://www.patreon.com/hermitix⁠⁠⁠⁠⁠</a>
Donations: - <a href=""https://www.youtube.com/redirect?event=video_description&amp;redir_token=QUFFLUhqa3JKWGMyelY3MkN1NGdVWEdTNmo5d3Q4bWgwUXxBQ3Jtc0tseUZlVk9wWFYtQTdaMXhrUXlQX1hpeDItRW91cmhIeUdmeWpKejNZZ1Flb0ZJV0VDWEVNN2RNbDQ4WTkzXzVlV01tR01nY3czOGtRUWZJcjAzUEV2VkdCd1dBRWJTS1ZORFZyM1AtWmdxMXZDSDlvaw&amp;q=https%3A%2F%2Fwww.paypal.me%2Fhermitixpod&amp;v=afm7FrIpVtg"">⁠⁠⁠⁠⁠https://www.paypal.me/hermitixpod⁠⁠⁠⁠⁠</a>
Hermitix Merchandise - <a href=""https://www.youtube.com/redirect?event=video_description&amp;redir_token=QUFFLUhqbTNONFo3azBkVlBaY1pfb1dvUEtxSGN5ODh6Z3xBQ3Jtc0tuOHFKZ214b3I5dldKTXFCMnNHcUROMElkU29fb0JnejBFLUdUblhCc1l0blVLZWFXZzRmS04zTV91Wjg0WEVKOWp5QWlpMW85ZDdxckdHbUE3SkNTNVMzSXhZMlA3c0RrUnVyb2l3ZVV1cW91ZHJabw&amp;q=http%3A%2F%2Fteespring.com%2Fstores%2Fhermitix-2&amp;v=afm7FrIpVtg"">⁠⁠⁠⁠⁠http://teespring.com/stores/hermitix-2⁠⁠⁠⁠⁠</a>
Bitcoin Donation Address: 3LAGEKBXEuE2pgc4oubExGTWtrKPuXDDLK
Ethereum  Donation Address: 0x31e2a4a31B8563B8d238eC086daE9B75a00D9E74
</p>"
Alchemy with Brian Cotnoir,https://anchor.fm/s/63e62734/podcast/play/83980396/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2024-2-13%2F6a863117-a3cc-9303-75d6-4375e564d7c0.mp3,audio/mpeg,"Wed, 20 Mar 2024 17:00:00 GMT","<p>Brian Cotnoir is an alchemist, artist and award-winning filmmaker.</p>
<p>Brian's website: <a href=""http://KhepriPress.com"" rel=""noreferrer nofollow noopener"" target=""_blank"">KhepriPress.com</a></p>
<p>To join the mailing list for Brian's talks and new work please <a href=""http://eepurl.com/garCjT"" rel=""noreferrer nofollow noopener"" target=""_blank"">SIgn Up Here</a> </p>
<p><em>My book </em><a href=""https://khepripress.com/the-weiser-concise-guide-to-alchemy/"" rel=""noreferrer nofollow noopener"" target=""_blank"">Alchemy: The Poetry of Matter</a><em> </em>and the <a href=""https://khepripress.com/order/"" rel=""noreferrer nofollow noopener"" target=""_blank"">Zines</a> may be purchased through my website or in England and Europe through <a href=""https://www.watkinsbooks.com"" rel=""noreferrer nofollow noopener"" target=""_blank"">Watkins Bookstore in London</a> or <a href=""http://Iglootree.com"" rel=""noreferrer nofollow noopener"" target=""_blank"">Iglootree.com</a></p>
<p>These are the Watkins and Wieser books:</p>
<p><a href=""https://www.amazon.com/Alchemy-Essential-Practices-Making-Art/dp/1786787709"" rel=""noreferrer nofollow noopener"" target=""_blank"">On Alchemy: Essential Practices and Making Art as Alchemy</a></p>
<p><a href=""https://www.amazon.com/Practical-Alchemy-Guide-Great-Work/dp/1578637473"" rel=""noreferrer nofollow noopener"" target=""_blank"">Practical Alchemy: A Guide to the Great Work</a></p>
<p>If folks are in NYC April 25 -28 I will be at the <a href=""https://www.printedmatter.org/programs/4-art-book-fairs"" rel=""noreferrer nofollow noopener"" target=""_blank"">New York Art Book Fair.</a></p>
<p>---</p>
<p>Become part of the Hermitix community:</p>
<p>
Hermitix Twitter - <a href=""https://www.youtube.com/redirect?event=video_description&amp;redir_token=QUFFLUhqa0t6VWtXMC1JcWVHNE1ET0k3dHhPVmtiWE1rZ3xBQ3Jtc0tudEdBalB6UGt1TTFKTGRfSy02Q2xuSEREUDFiOVJCSnlrUU1ERkxROHlJcy05LVc2bXV0TkwxWG44b0plaDNIUmtrbTlDZ182UklMcmtwQXpyUlJtckNyengzX1FvOGhyVjFlcWJETnNEMVJPNkpTMA&amp;q=https%3A%2F%2Ftwitter.com%2FHermitixpodcast&amp;v=afm7FrIpVtg"">⁠⁠⁠⁠⁠https://twitter.com/Hermitixpodcast⁠⁠⁠⁠⁠</a></p>
<p>
Support Hermitix:</p>
<p>
Patreon - <a href=""https://www.youtube.com/redirect?event=video_description&amp;redir_token=QUFFLUhqazZmWTVsTnJkem1fNGVlMEVBdUtLRTJJR0JnQXxBQ3Jtc0tsSGllUE9WdnJZZUNxZVJTcEVDVEtpQ28zRXc2VXFJNDR0TnljaDlfT1d6T0RmQTJWTk9YdVRSYnU4aDdwa1ZkY292VVExVXRoOWczMVpJc1VvektyWUp0S1duaFIxSzVkV0hTeVU1NURqSk5ObC1icw&amp;q=https%3A%2F%2Fwww.patreon.com%2Fhermitix&amp;v=afm7FrIpVtg"">⁠⁠⁠⁠⁠https://www.patreon.com/hermitix⁠⁠⁠⁠⁠</a>
Donations: - <a href=""https://www.youtube.com/redirect?event=video_description&amp;redir_token=QUFFLUhqa3JKWGMyelY3MkN1NGdVWEdTNmo5d3Q4bWgwUXxBQ3Jtc0tseUZlVk9wWFYtQTdaMXhrUXlQX1hpeDItRW91cmhIeUdmeWpKejNZZ1Flb0ZJV0VDWEVNN2RNbDQ4WTkzXzVlV01tR01nY3czOGtRUWZJcjAzUEV2VkdCd1dBRWJTS1ZORFZyM1AtWmdxMXZDSDlvaw&amp;q=https%3A%2F%2Fwww.paypal.me%2Fhermitixpod&amp;v=afm7FrIpVtg"">⁠⁠⁠⁠⁠https://www.paypal.me/hermitixpod⁠⁠⁠⁠⁠</a>
Hermitix Merchandise - <a href=""https://www.youtube.com/redirect?event=video_description&amp;redir_token=QUFFLUhqbTNONFo3azBkVlBaY1pfb1dvUEtxSGN5ODh6Z3xBQ3Jtc0tuOHFKZ214b3I5dldKTXFCMnNHcUROMElkU29fb0JnejBFLUdUblhCc1l0blVLZWFXZzRmS04zTV91Wjg0WEVKOWp5QWlpMW85ZDdxckdHbUE3SkNTNVMzSXhZMlA3c0RrUnVyb2l3ZVV1cW91ZHJabw&amp;q=http%3A%2F%2Fteespring.com%2Fstores%2Fhermitix-2&amp;v=afm7FrIpVtg"">⁠⁠⁠⁠⁠http://teespring.com/stores/hermitix-2⁠⁠⁠⁠⁠</a>
Bitcoin Donation Address: 3LAGEKBXEuE2pgc4oubExGTWtrKPuXDDLK
Ethereum  Donation Address: 0x31e2a4a31B8563B8d238eC086daE9B75a00D9E74
</p>"
Nihilism of the 19th Century with Jon Stewart,https://podcasters.spotify.com/pod/show/hermitix/episodes/Nihilism-of-the-19th-Century-with-Jon-Stewart-e2gkkck,text/html,"Wed, 13 Mar 2024 17:00:00 GMT","<p><strong>Jon Stewart</strong> is an American philosopher and historian of philosophy. He specializes in 19th century <a href=""https://en.wikipedia.org/wiki/Continental_philosophy"">Continental philosophy</a> with an emphasis on the thought of <a href=""https://en.wikipedia.org/wiki/Kierkegaard"">Kierkegaard</a> and <a href=""https://en.wikipedia.org/wiki/Hegel"">Hegel</a>.
 He has also worked in the field of Scandinavian Studies and has made the culture of the Danish Golden Age better known internationally. Stewart currently works as a researcher at the Institute of Philosophy at the <a href=""https://en.wikipedia.org/wiki/Slovak_Academy_of_Sciences"">Slovak Academy of Sciences</a>. In this episode we discuss his recent book <em>A History of Nihilism in the Nineteenth Century: Confrontations with Nothingness</em></p>
<p>Book link: https://www.cambridge.org/core/books/history-of-nihilism-in-the-nineteenth-century/3250CA078409F52025B46A5CCF205792</p>
<p><br /></p>
<p>---</p>
<p>Become part of the Hermitix community:</p>
<p>
Hermitix Twitter - <a href=""https://www.youtube.com/redirect?event=video_description&amp;redir_token=QUFFLUhqa0t6VWtXMC1JcWVHNE1ET0k3dHhPVmtiWE1rZ3xBQ3Jtc0tudEdBalB6UGt1TTFKTGRfSy02Q2xuSEREUDFiOVJCSnlrUU1ERkxROHlJcy05LVc2bXV0TkwxWG44b0plaDNIUmtrbTlDZ182UklMcmtwQXpyUlJtckNyengzX1FvOGhyVjFlcWJETnNEMVJPNkpTMA&amp;q=https%3A%2F%2Ftwitter.com%2FHermitixpodcast&amp;v=afm7FrIpVtg"">⁠⁠⁠⁠https://twitter.com/Hermitixpodcast⁠⁠⁠⁠</a></p>
<p>
Support Hermitix:</p>
<p>
Patreon - <a href=""https://www.youtube.com/redirect?event=video_description&amp;redir_token=QUFFLUhqazZmWTVsTnJkem1fNGVlMEVBdUtLRTJJR0JnQXxBQ3Jtc0tsSGllUE9WdnJZZUNxZVJTcEVDVEtpQ28zRXc2VXFJNDR0TnljaDlfT1d6T0RmQTJWTk9YdVRSYnU4aDdwa1ZkY292VVExVXRoOWczMVpJc1VvektyWUp0S1duaFIxSzVkV0hTeVU1NURqSk5ObC1icw&amp;q=https%3A%2F%2Fwww.patreon.com%2Fhermitix&amp;v=afm7FrIpVtg"">⁠⁠⁠⁠https://www.patreon.com/hermitix⁠⁠⁠⁠</a>
Donations: - <a href=""https://www.youtube.com/redirect?event=video_description&amp;redir_token=QUFFLUhqa3JKWGMyelY3MkN1NGdVWEdTNmo5d3Q4bWgwUXxBQ3Jtc0tseUZlVk9wWFYtQTdaMXhrUXlQX1hpeDItRW91cmhIeUdmeWpKejNZZ1Flb0ZJV0VDWEVNN2RNbDQ4WTkzXzVlV01tR01nY3czOGtRUWZJcjAzUEV2VkdCd1dBRWJTS1ZORFZyM1AtWmdxMXZDSDlvaw&amp;q=https%3A%2F%2Fwww.paypal.me%2Fhermitixpod&amp;v=afm7FrIpVtg"">⁠⁠⁠⁠https://www.paypal.me/hermitixpod⁠⁠⁠⁠</a>
Hermitix Merchandise - <a href=""https://www.youtube.com/redirect?event=video_description&amp;redir_token=QUFFLUhqbTNONFo3azBkVlBaY1pfb1dvUEtxSGN5ODh6Z3xBQ3Jtc0tuOHFKZ214b3I5dldKTXFCMnNHcUROMElkU29fb0JnejBFLUdUblhCc1l0blVLZWFXZzRmS04zTV91Wjg0WEVKOWp5QWlpMW85ZDdxckdHbUE3SkNTNVMzSXhZMlA3c0RrUnVyb2l3ZVV1cW91ZHJabw&amp;q=http%3A%2F%2Fteespring.com%2Fstores%2Fhermitix-2&amp;v=afm7FrIpVtg"">⁠⁠⁠⁠http://teespring.com/stores/hermitix-2⁠⁠⁠⁠</a>
Bitcoin Donation Address: 3LAGEKBXEuE2pgc4oubExGTWtrKPuXDDLK
Ethereum  Donation Address: 0x31e2a4a31B8563B8d238eC086daE9B75a00D9E74
</p>"
Nihilism of the 19th Century with Jon Stewart,https://anchor.fm/s/63e62734/podcast/play/83562324/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2024-2-4%2F63a96aa4-a215-83e6-7d82-89880e3e67e1.mp3,audio/mpeg,"Wed, 13 Mar 2024 17:00:00 GMT","<p><strong>Jon Stewart</strong> is an American philosopher and historian of philosophy. He specializes in 19th century <a href=""https://en.wikipedia.org/wiki/Continental_philosophy"">Continental philosophy</a> with an emphasis on the thought of <a href=""https://en.wikipedia.org/wiki/Kierkegaard"">Kierkegaard</a> and <a href=""https://en.wikipedia.org/wiki/Hegel"">Hegel</a>.
 He has also worked in the field of Scandinavian Studies and has made the culture of the Danish Golden Age better known internationally. Stewart currently works as a researcher at the Institute of Philosophy at the <a href=""https://en.wikipedia.org/wiki/Slovak_Academy_of_Sciences"">Slovak Academy of Sciences</a>. In this episode we discuss his recent book <em>A History of Nihilism in the Nineteenth Century: Confrontations with Nothingness</em></p>
<p>Book link: https://www.cambridge.org/core/books/history-of-nihilism-in-the-nineteenth-century/3250CA078409F52025B46A5CCF205792</p>
<p><br /></p>
<p>---</p>
<p>Become part of the Hermitix community:</p>
<p>
Hermitix Twitter - <a href=""https://www.youtube.com/redirect?event=video_description&amp;redir_token=QUFFLUhqa0t6VWtXMC1JcWVHNE1ET0k3dHhPVmtiWE1rZ3xBQ3Jtc0tudEdBalB6UGt1TTFKTGRfSy02Q2xuSEREUDFiOVJCSnlrUU1ERkxROHlJcy05LVc2bXV0TkwxWG44b0plaDNIUmtrbTlDZ182UklMcmtwQXpyUlJtckNyengzX1FvOGhyVjFlcWJETnNEMVJPNkpTMA&amp;q=https%3A%2F%2Ftwitter.com%2FHermitixpodcast&amp;v=afm7FrIpVtg"">⁠⁠⁠⁠https://twitter.com/Hermitixpodcast⁠⁠⁠⁠</a></p>
<p>
Support Hermitix:</p>
<p>
Patreon - <a href=""https://www.youtube.com/redirect?event=video_description&amp;redir_token=QUFFLUhqazZmWTVsTnJkem1fNGVlMEVBdUtLRTJJR0JnQXxBQ3Jtc0tsSGllUE9WdnJZZUNxZVJTcEVDVEtpQ28zRXc2VXFJNDR0TnljaDlfT1d6T0RmQTJWTk9YdVRSYnU4aDdwa1ZkY292VVExVXRoOWczMVpJc1VvektyWUp0S1duaFIxSzVkV0hTeVU1NURqSk5ObC1icw&amp;q=https%3A%2F%2Fwww.patreon.com%2Fhermitix&amp;v=afm7FrIpVtg"">⁠⁠⁠⁠https://www.patreon.com/hermitix⁠⁠⁠⁠</a>
Donations: - <a href=""https://www.youtube.com/redirect?event=video_description&amp;redir_token=QUFFLUhqa3JKWGMyelY3MkN1NGdVWEdTNmo5d3Q4bWgwUXxBQ3Jtc0tseUZlVk9wWFYtQTdaMXhrUXlQX1hpeDItRW91cmhIeUdmeWpKejNZZ1Flb0ZJV0VDWEVNN2RNbDQ4WTkzXzVlV01tR01nY3czOGtRUWZJcjAzUEV2VkdCd1dBRWJTS1ZORFZyM1AtWmdxMXZDSDlvaw&amp;q=https%3A%2F%2Fwww.paypal.me%2Fhermitixpod&amp;v=afm7FrIpVtg"">⁠⁠⁠⁠https://www.paypal.me/hermitixpod⁠⁠⁠⁠</a>
Hermitix Merchandise - <a href=""https://www.youtube.com/redirect?event=video_description&amp;redir_token=QUFFLUhqbTNONFo3azBkVlBaY1pfb1dvUEtxSGN5ODh6Z3xBQ3Jtc0tuOHFKZ214b3I5dldKTXFCMnNHcUROMElkU29fb0JnejBFLUdUblhCc1l0blVLZWFXZzRmS04zTV91Wjg0WEVKOWp5QWlpMW85ZDdxckdHbUE3SkNTNVMzSXhZMlA3c0RrUnVyb2l3ZVV1cW91ZHJabw&amp;q=http%3A%2F%2Fteespring.com%2Fstores%2Fhermitix-2&amp;v=afm7FrIpVtg"">⁠⁠⁠⁠http://teespring.com/stores/hermitix-2⁠⁠⁠⁠</a>
Bitcoin Donation Address: 3LAGEKBXEuE2pgc4oubExGTWtrKPuXDDLK
Ethereum  Donation Address: 0x31e2a4a31B8563B8d238eC086daE9B75a00D9E74
</p>"
Birthday Q&A,https://podcasters.spotify.com/pod/show/hermitix/episodes/Birthday-QA-e2gqcju,text/html,"Fri, 08 Mar 2024 13:52:13 GMT",<p>A live Youtube Q&amp;A for my birthday.</p>
Birthday Q&A,https://anchor.fm/s/63e62734/podcast/play/83750974/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2024-2-8%2F2ca29692-c6f3-b61b-2d33-b53a42bb384b.mp3,audio/mpeg,"Fri, 08 Mar 2024 13:52:13 GMT",<p>A live Youtube Q&amp;A for my birthday.</p>
A Request to Listeners,https://podcasters.spotify.com/pod/show/hermitix/episodes/A-Request-to-Listeners-e2gp44p,text/html,"Thu, 07 Mar 2024 16:35:06 GMT","<p>(Reupload)</p>
<p>Thanks for all your support.</p>
<p>My email is: hermitixpodcast@protonmail.com</p>"
A Request to Listeners,https://anchor.fm/s/63e62734/podcast/play/83709529/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2024-2-7%2F103dad18-9fde-f5ba-99fe-ca687c69044c.mp3,audio/mpeg,"Thu, 07 Mar 2024 16:35:06 GMT","<p>(Reupload)</p>
<p>Thanks for all your support.</p>
<p>My email is: hermitixpodcast@protonmail.com</p>"
Sensitive Witnessing and Epicurean Materialism with Kristin M. Girten,https://podcasters.spotify.com/pod/show/hermitix/episodes/Sensitive-Witnessing-and-Epicurean-Materialism-with-Kristin-M--Girten-e2g9tuf,text/html,"Wed, 06 Mar 2024 17:00:00 GMT","<p>Kristin M. Girten is Associate Professor of English at the University of Nebraska, Omaha. In this episode we discuss her book <em>Sensitive Witnesses Feminist Materialism in the British Enlightenment, </em>alongside discussions on epicurean materialism and Lucretius.</p>
<p>Book link: https://www.sup.org/books/title/?id=35472</p>
<p>---</p>
<p>Become part of the Hermitix community:</p>
<p>
Hermitix Twitter - <a href=""https://www.youtube.com/redirect?event=video_description&amp;redir_token=QUFFLUhqa0t6VWtXMC1JcWVHNE1ET0k3dHhPVmtiWE1rZ3xBQ3Jtc0tudEdBalB6UGt1TTFKTGRfSy02Q2xuSEREUDFiOVJCSnlrUU1ERkxROHlJcy05LVc2bXV0TkwxWG44b0plaDNIUmtrbTlDZ182UklMcmtwQXpyUlJtckNyengzX1FvOGhyVjFlcWJETnNEMVJPNkpTMA&amp;q=https%3A%2F%2Ftwitter.com%2FHermitixpodcast&amp;v=afm7FrIpVtg"">⁠⁠⁠https://twitter.com/Hermitixpodcast⁠⁠⁠</a></p>
<p>
Support Hermitix:</p>
<p>
Patreon - <a href=""https://www.youtube.com/redirect?event=video_description&amp;redir_token=QUFFLUhqazZmWTVsTnJkem1fNGVlMEVBdUtLRTJJR0JnQXxBQ3Jtc0tsSGllUE9WdnJZZUNxZVJTcEVDVEtpQ28zRXc2VXFJNDR0TnljaDlfT1d6T0RmQTJWTk9YdVRSYnU4aDdwa1ZkY292VVExVXRoOWczMVpJc1VvektyWUp0S1duaFIxSzVkV0hTeVU1NURqSk5ObC1icw&amp;q=https%3A%2F%2Fwww.patreon.com%2Fhermitix&amp;v=afm7FrIpVtg"">⁠⁠⁠https://www.patreon.com/hermitix⁠⁠⁠</a>
Donations: - <a href=""https://www.youtube.com/redirect?event=video_description&amp;redir_token=QUFFLUhqa3JKWGMyelY3MkN1NGdVWEdTNmo5d3Q4bWgwUXxBQ3Jtc0tseUZlVk9wWFYtQTdaMXhrUXlQX1hpeDItRW91cmhIeUdmeWpKejNZZ1Flb0ZJV0VDWEVNN2RNbDQ4WTkzXzVlV01tR01nY3czOGtRUWZJcjAzUEV2VkdCd1dBRWJTS1ZORFZyM1AtWmdxMXZDSDlvaw&amp;q=https%3A%2F%2Fwww.paypal.me%2Fhermitixpod&amp;v=afm7FrIpVtg"">⁠⁠⁠https://www.paypal.me/hermitixpod⁠⁠⁠</a>
Hermitix Merchandise - <a href=""https://www.youtube.com/redirect?event=video_description&amp;redir_token=QUFFLUhqbTNONFo3azBkVlBaY1pfb1dvUEtxSGN5ODh6Z3xBQ3Jtc0tuOHFKZ214b3I5dldKTXFCMnNHcUROMElkU29fb0JnejBFLUdUblhCc1l0blVLZWFXZzRmS04zTV91Wjg0WEVKOWp5QWlpMW85ZDdxckdHbUE3SkNTNVMzSXhZMlA3c0RrUnVyb2l3ZVV1cW91ZHJabw&amp;q=http%3A%2F%2Fteespring.com%2Fstores%2Fhermitix-2&amp;v=afm7FrIpVtg"">⁠⁠⁠http://teespring.com/stores/hermitix-2⁠⁠⁠</a>
Bitcoin Donation Address: 3LAGEKBXEuE2pgc4oubExGTWtrKPuXDDLK
Ethereum  Donation Address: 0x31e2a4a31B8563B8d238eC086daE9B75a00D9E74</p>"
Sensitive Witnessing and Epicurean Materialism with Kristin M. Girten,https://anchor.fm/s/63e62734/podcast/play/83211663/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2024-1-26%2Fc9b60719-9273-647b-76b5-89998281d512.mp3,audio/mpeg,"Wed, 06 Mar 2024 17:00:00 GMT","<p>Kristin M. Girten is Associate Professor of English at the University of Nebraska, Omaha. In this episode we discuss her book <em>Sensitive Witnesses Feminist Materialism in the British Enlightenment, </em>alongside discussions on epicurean materialism and Lucretius.</p>
<p>Book link: https://www.sup.org/books/title/?id=35472</p>
<p>---</p>
<p>Become part of the Hermitix community:</p>
<p>
Hermitix Twitter - <a href=""https://www.youtube.com/redirect?event=video_description&amp;redir_token=QUFFLUhqa0t6VWtXMC1JcWVHNE1ET0k3dHhPVmtiWE1rZ3xBQ3Jtc0tudEdBalB6UGt1TTFKTGRfSy02Q2xuSEREUDFiOVJCSnlrUU1ERkxROHlJcy05LVc2bXV0TkwxWG44b0plaDNIUmtrbTlDZ182UklMcmtwQXpyUlJtckNyengzX1FvOGhyVjFlcWJETnNEMVJPNkpTMA&amp;q=https%3A%2F%2Ftwitter.com%2FHermitixpodcast&amp;v=afm7FrIpVtg"">⁠⁠⁠https://twitter.com/Hermitixpodcast⁠⁠⁠</a></p>
<p>
Support Hermitix:</p>
<p>
Patreon - <a href=""https://www.youtube.com/redirect?event=video_description&amp;redir_token=QUFFLUhqazZmWTVsTnJkem1fNGVlMEVBdUtLRTJJR0JnQXxBQ3Jtc0tsSGllUE9WdnJZZUNxZVJTcEVDVEtpQ28zRXc2VXFJNDR0TnljaDlfT1d6T0RmQTJWTk9YdVRSYnU4aDdwa1ZkY292VVExVXRoOWczMVpJc1VvektyWUp0S1duaFIxSzVkV0hTeVU1NURqSk5ObC1icw&amp;q=https%3A%2F%2Fwww.patreon.com%2Fhermitix&amp;v=afm7FrIpVtg"">⁠⁠⁠https://www.patreon.com/hermitix⁠⁠⁠</a>
Donations: - <a href=""https://www.youtube.com/redirect?event=video_description&amp;redir_token=QUFFLUhqa3JKWGMyelY3MkN1NGdVWEdTNmo5d3Q4bWgwUXxBQ3Jtc0tseUZlVk9wWFYtQTdaMXhrUXlQX1hpeDItRW91cmhIeUdmeWpKejNZZ1Flb0ZJV0VDWEVNN2RNbDQ4WTkzXzVlV01tR01nY3czOGtRUWZJcjAzUEV2VkdCd1dBRWJTS1ZORFZyM1AtWmdxMXZDSDlvaw&amp;q=https%3A%2F%2Fwww.paypal.me%2Fhermitixpod&amp;v=afm7FrIpVtg"">⁠⁠⁠https://www.paypal.me/hermitixpod⁠⁠⁠</a>
Hermitix Merchandise - <a href=""https://www.youtube.com/redirect?event=video_description&amp;redir_token=QUFFLUhqbTNONFo3azBkVlBaY1pfb1dvUEtxSGN5ODh6Z3xBQ3Jtc0tuOHFKZ214b3I5dldKTXFCMnNHcUROMElkU29fb0JnejBFLUdUblhCc1l0blVLZWFXZzRmS04zTV91Wjg0WEVKOWp5QWlpMW85ZDdxckdHbUE3SkNTNVMzSXhZMlA3c0RrUnVyb2l3ZVV1cW91ZHJabw&amp;q=http%3A%2F%2Fteespring.com%2Fstores%2Fhermitix-2&amp;v=afm7FrIpVtg"">⁠⁠⁠http://teespring.com/stores/hermitix-2⁠⁠⁠</a>
Bitcoin Donation Address: 3LAGEKBXEuE2pgc4oubExGTWtrKPuXDDLK
Ethereum  Donation Address: 0x31e2a4a31B8563B8d238eC086daE9B75a00D9E74</p>"
