title,link,link_type,published,summary
"Episode #198 ... The truth is in the process. - Zizek pt. 3 (ideology, dialectics)",https://pdst.fm/e/chrt.fm/track/47G541/pscrb.fm/rss/p/mgln.ai/e/433/claritaspod.com/measure/traffic.megaphone.fm/QCD3835632811.mp3?updated=1711246400,audio/mpeg,"Sun, 24 Mar 2024 02:08:17 -0000","Today we go into a deeper explanation of ideology and dialectics. Liberal democratic capitalism is featured as a special guest. Hope you enjoy it! :)

Sponsors:
Nord VPN: https://www.NordVPN.com/philothis
Better Help: https://www.BetterHelp.com/PHILTHIS
LMNT: https://www.DrinkLMNT.com/philo

﻿Thank you so much for listening! Could never do this without your help. 

Website: https://www.philosophizethis.org/
Patreon: https://www.patreon.com/philosophizethis 

Social:
Instagram: https://www.instagram.com/philosophizethispodcast
X: https://twitter.com/iamstephenwest
Facebook: https://www.facebook.com/philosophizethisshow"
"Episode #197 ... New Atheists and cosmic purpose without God - (Zizek, Goff, Nagel)",https://pdst.fm/e/chrt.fm/track/47G541/pscrb.fm/rss/p/mgln.ai/e/433/claritaspod.com/measure/traffic.megaphone.fm/QCD8093911866.mp3?updated=1710055085,audio/mpeg,"Sun, 10 Mar 2024 07:12:41 -0000","As we regularly do on this program-- we engage in a metamodernist steelmanning of different philosophical positions. Hopefully the process brings people some joy. Today we go from ideology, to New Atheism vs Creationism, to Aristotle, to Thomas Nagel, to Phillip Goff's new book called Why? The Purpose of the Universe. 

Sponsors:
Better Help: https://www.BetterHelp.com/PHILTHIS
EXCLUSIVE NordVPN Deal ➼ https://nordvpn.com/philothis Try it risk-free now with a 30-day money-back guarantee!

Thank you so much for listening! Could never do this without your help. 

Website: https://www.philosophizethis.org/
Patreon: https://www.patreon.com/philosophizethis 

Social:
Instagram: https://www.instagram.com/philosophizethispodcast
X: https://twitter.com/iamstephenwest
Facebook: https://www.facebook.com/philosophizethisshow"
Episode #196 ... The improbable Slavoj Zizek - Part 1,https://pdst.fm/e/chrt.fm/track/47G541/pscrb.fm/rss/p/mgln.ai/e/433/claritaspod.com/measure/traffic.megaphone.fm/QCD5140947933.mp3?updated=1708796116,audio/mpeg,"Sat, 24 Feb 2024 17:30:10 -0000","Today we give an introduction to the thinking of Slavoj Zizek-- at least as much as is possible in ~35 mins. The goal is for this to be a primer for the rest of the series.

Thank you so much for listening! Could never do this without your help. 

Sponsors:
AG1: https://www.DrinkAg1.com/philo
Better Help: https://www.BetterHelp.com/PHILTHIS
LMNT: https://www.DrinkLMNT.com/philo

Website: https://www.philosophizethis.org/
Patreon: https://www.patreon.com/philosophizethis 

Social:
Instagram: https://www.instagram.com/philosophizethispodcast
X: https://twitter.com/iamstephenwest
Facebook: https://www.facebook.com/philosophizethisshow"
"Episode #195 ... Could Anarcho-Capitalism be the solution to our problems? - Anarchism pt. 4 (Rothbard, Friedman, Malice)",https://pdst.fm/e/chrt.fm/track/47G541/pscrb.fm/rss/p/mgln.ai/e/433/claritaspod.com/measure/traffic.megaphone.fm/QCD5656947798.mp3?updated=1707549732,audio/mpeg,"Sat, 10 Feb 2024 07:16:52 -0000","Today we talk more about anarchism. 

Sponsors:
Better Help: https://www.BetterHelp.com/PHILTHIS
Factor: http://www.FactorMeals.com/pt50

Thank you so much for listening! Could never do this without your help. 

Website: https://www.philosophizethis.org/
Patreon: https://www.patreon.com/philosophizethis 

Social:
Instagram: https://www.instagram.com/philosophizethispodcast
X: https://twitter.com/iamstephenwest
Facebook: https://www.facebook.com/philosophizethisshow"
"Episode #194 ... Do we really need the police? - Anarchism pt. 3 - (Gelderloos, Security)",https://pdst.fm/e/chrt.fm/track/47G541/pscrb.fm/rss/p/mgln.ai/e/433/claritaspod.com/measure/traffic.megaphone.fm/QCD4101945293.mp3?updated=1706334596,audio/mpeg,"Sat, 27 Jan 2024 05:43:32 -0000","Today we answer some questions about the potential security risks of an anarchist society. 

Sponsors:
https://www.DrinkLMNT.com/philo
https://www.BetterHelp.com/PHILTHIS
https://www.DrinkAg1.com/philo

Thank you so much for listening! Could never do this without your help. 

Website: https://www.philosophizethis.org/
Patreon: https://www.patreon.com/philosophizethis 

Social:
Instagram: https://www.instagram.com/philosophizethispodcast
X: https://twitter.com/iamstephenwest
Facebook: https://www.facebook.com/philosophizethisshow"
"Episode #193 ...The chief export of the western world is trash. - Anarchism pt. 2 (Bookchin, Social Ecology)",https://pdst.fm/e/chrt.fm/track/47G541/pscrb.fm/rss/p/mgln.ai/e/433/claritaspod.com/measure/traffic.megaphone.fm/QCD4421680216.mp3?updated=1704829541,audio/mpeg,"Tue, 09 Jan 2024 19:40:26 -0000","Today we talk about some of the work of Murray Bookchin. We talk about anarchism as a historical trend in human thought that keeps recurring. Then we talk about the superficiality of typical approaches to being environmentally conscious. We talk about Futurism and the hope of colonizing other planets. We talk about Artificial Intelligence and why people sometimes don't feel like celebrating its arrival. 

Sponsors:
Better Help: https://www.BetterHelp.com/PHILTHIS
NordVPN: https://www.NordVPN.com/philothis

Get more:
Website: https://www.philosophizethis.org/
Patreon: https://www.patreon.com/philosophizethis
Philosophize This! Clips: https://www.youtube.com/@philosophizethisclips
 
Be social:
X: https://twitter.com/iamstephenwest
Instagram: https://www.instagram.com/philosophizethispodcast
TikTok: https://www.tiktok.com/@philosophizethispodcast
Facebook: https://www.facebook.com/philosophizethisshow

Thank you for making the show possible. 🙂"
"Episode #192 ... Should we overthrow the government tomorrow? - Anarchism pt. 1 (Chomsky, Malatesta)",https://pdst.fm/e/chrt.fm/track/47G541/pscrb.fm/rss/p/mgln.ai/e/433/claritaspod.com/measure/traffic.megaphone.fm/QCD5668629767.mp3?updated=1703883679,audio/mpeg,"Thu, 28 Dec 2023 06:31:00 -0000","Today we talk about some common misconceptions about Anarchism, the weaknesses of traditional government structures, a possible alternative way of cooperating and whether or not the government is the hierarchy we should be focusing on.

Sponsors:
NordVPN - https://www.NordVPN.com/PHILOTHIS
Rocket Money - https://www.RocketMoney.com/PT
GiveWell - https://www.GiveWell.org (mention Philosophize This! at checkout)


Get more:
Website: https://www.philosophizethis.org/
Patreon: https://www.patreon.com/philosophizethis
Philosophize This! Clips: https://www.youtube.com/@philosophizethisclips
 
Be social:
Twitter: https://twitter.com/iamstephenwest
Instagram: https://www.instagram.com/philosophizethispodcast
TikTok: https://www.tiktok.com/@philosophizethispodcast
Facebook: https://www.facebook.com/philosophizethisshow

Thank you for making the show possible. 🙂"
Episode #191 ... The modern day concentration camp and the failure of human rights. (Giorgio Agamben),https://pdst.fm/e/chrt.fm/track/47G541/pscrb.fm/rss/p/mgln.ai/e/433/claritaspod.com/measure/traffic.megaphone.fm/QCD5773135007.mp3?updated=1701750570,audio/mpeg,"Tue, 05 Dec 2023 04:24:09 -0000","Today we talk about the philosophy of Giorgio Agamben. Human rights, a political tactic to dehumanize groups that has been growing in popularity, governments declaring states of emergency and how the concept of potential may in fact be a unifying force. 
https://www.philosophizethis.org

Sponsors:
Hello Fresh: https://www.HelloFresh.com/ptfree
Better Help: https://www.BetterHelp.com/PHILTHIS"
Episode #190 ... Are emotions a waste of time? - Neo-Stoicism (Martha Nussbaum),https://pdst.fm/e/chrt.fm/track/47G541/pscrb.fm/rss/p/mgln.ai/e/433/claritaspod.com/measure/traffic.megaphone.fm/QCD1026684189.mp3?updated=1701750647,audio/mpeg,"Mon, 27 Nov 2023 08:02:00 -0000","Today we talk about the lessons found in the ancient Greek play titled Hecuba. We talk about the great Stoic ethicists Epictetus, Seneca and Marcus Aurelius. We talk about Martha Nussbaum and her work looking to infuse classical Stoic ideas with all that we've learned in the sciences over thousands of years. We talk about compassion. Shame and guilt. Her capabilities approach. It's a whole lot of fun for the whole family. :)

SPONSORS:
Better Help: https://www.BetterHelp.com/PHILTHIS
AG1: https://www.drinkAG1.com/philo"
Episode #189 ... Everything that connects us is slowly disappearing. - Byung Chul Han pt. 2,https://philosophizethis.libsyn.com/episode-189-everything-that-connects-us-is-slowly-disappearing-byung-chul-han-pt-2,text/html,"Tue, 03 Oct 2023 22:59:00 -0000","Today we talk about the disappearance of rituals, truth, community, communication, public spaces and talk about the importance sometimes of being an idiot. Hope you love it! :)
  
 Sponsor:
 Better Help https://www.BetterHelp.com/PHILTHIS
  
 Get more:
 Website: https://www.philosophizethis.org/
 Patreon: https://www.patreon.com/philosophizethis
 Philosophize This! Clips: https://www.youtube.com/@philosophizethisclips
  
 Be social:
 Twitter: https://twitter.com/iamstephenwest
 Instagram: https://www.instagram.com/philosophizethispodcast
 TikTok: https://www.tiktok.com/@philosophizethispodcast
 Facebook: https://www.facebook.com/philosophizethisshow
  
 Thank you for making the show possible. 🙂"
