title,link,link_type,published,summary
Yascha Mounk on the Identity Trap,https://philosophybites.libsyn.com/yascha-mounk-on-the-identity-trap,text/html,"Thu, 14 Mar 2024 11:27:00 +0000",<p>Privileging one identity over others can be counterproductive for individuals and for society according to Yascha Mounk. He thinks there is an 'identity trap'. He discusses his ideas with Nigel Warburton in this episode of the Philosophy Bites podcast. </p>
Yascha Mounk on the Identity Trap,https://traffic.libsyn.com/secure/philosophybites/Yascha_Mounk_on_the_Identity_Trap.m4a?dest-id=14010,audio/mp4,"Thu, 14 Mar 2024 11:27:00 +0000",<p>Privileging one identity over others can be counterproductive for individuals and for society according to Yascha Mounk. He thinks there is an 'identity trap'. He discusses his ideas with Nigel Warburton in this episode of the Philosophy Bites podcast. </p>
Mark Rowe on J.L.Austin,https://philosophybites.libsyn.com/mark-rowe-on-jlaustin,text/html,"Thu, 14 Mar 2024 11:08:00 +0000",<p>J.L.Austin was the best known exponent of what came to be known as Ordinary Language Philosophy. He was also a war hero. In this episode of the Bio Bites strand of the Philosophy Bites podcast David Edmonds discusses Austin's life and work with his biographer Mark Rowe.</p>
Mark Rowe on J.L.Austin,https://traffic.libsyn.com/secure/philosophybites/Mark_Rowe_on_J.L.Austin.m4a?dest-id=14010,audio/mp4,"Thu, 14 Mar 2024 11:08:00 +0000",<p>J.L.Austin was the best known exponent of what came to be known as Ordinary Language Philosophy. He was also a war hero. In this episode of the Bio Bites strand of the Philosophy Bites podcast David Edmonds discusses Austin's life and work with his biographer Mark Rowe.</p>
James Klagge on Wittgenstein,https://philosophybites.libsyn.com/james-klagge-on-wittgenstein,text/html,"Mon, 19 Feb 2024 12:42:00 +0000","<p>In this episode James Klagge discusses the life and times of Ludwig Wittgenstein with David Edmonds. This is part of our mini series on the biographies of philosophers, Bio Bites.</p>"
James Klagge on Wittgenstein,https://traffic.libsyn.com/secure/philosophybites/James_Klagge_on_Wittgesntein.m4a?dest-id=14010,audio/mp4,"Mon, 19 Feb 2024 12:42:00 +0000","<p>In this episode James Klagge discusses the life and times of Ludwig Wittgenstein with David Edmonds. This is part of our mini series on the biographies of philosophers, Bio Bites.</p>"
David Chalmers on Technophiloosphy and the Extended Mind,https://philosophybites.libsyn.com/david-chalmers-on-technophiloosphy-and-the-extended-mind,text/html,"Mon, 22 Jan 2024 07:19:00 +0000",
David Chalmers on Technophiloosphy and the Extended Mind,https://traffic.libsyn.com/secure/philosophybites/David_Chalmers_on_Technophilosophy_and_the_Extended_Mind.m4a?dest-id=14010,audio/mp4,"Mon, 22 Jan 2024 07:19:00 +0000",
Agnes Callard on Sex,https://philosophybites.libsyn.com/agnes-callard-on-sex,text/html,"Mon, 27 Nov 2023 17:35:00 +0000","<p>What happens when people have sexual desires for one another? <a href=""https://philosophy.uchicago.edu/faculty/a-callard"">Agnes Callard</a> from the University of Chicago discusses sex, eroticism, and much more in conversation with Nigel Warburton. </p> <p>Not surprisingly, this episode of the Philosophy Bites podcast involves mention of sex.</p>"
Agnes Callard on Sex,https://traffic.libsyn.com/secure/philosophybites/Agnes_Callard_on_Sex.m4a?dest-id=14010,audio/mp4,"Mon, 27 Nov 2023 17:35:00 +0000","<p>What happens when people have sexual desires for one another? <a href=""https://philosophy.uchicago.edu/faculty/a-callard"">Agnes Callard</a> from the University of Chicago discusses sex, eroticism, and much more in conversation with Nigel Warburton. </p> <p>Not surprisingly, this episode of the Philosophy Bites podcast involves mention of sex.</p>"
