title,link,link_type,published,summary
"Saudi Arabia’s Despotic Ruler: World Corrupt Season 2, Episode 2",https://crooked.com,text/html,"Sat, 23 Mar 2024 07:00:00 +0000","Roger Bennett and Tommy Vietor take a look at the history of Saudi Arabia, US-Saudi relations, and the Kingdom’s path to becoming a geopolitical force. They trace the unlikely rise of Crown Prince Mohammed Bin Salman from a lowly place in the royal hierarchy to de facto leader of the country, and examine his record of enacting major social reforms while brutally cracking down on critics and rivals. Guests Ben Hubbard, Sarah Leah Whitson, and Khalid Al Jabri provide insight through stories about the infamous lock-up at the Ritz Carlton in Riyadh, the murder of journalist Jamal Khashoggi, and the disappearance of even the family members of MBS’ political rivals. And finally, they unpack what MBS’ massive investment into soccer means for the global game. Listen to the second episode of this four-part series to find out."
"Saudi Arabia’s Despotic Ruler: World Corrupt Season 2, Episode 2",https://pdst.fm/e/chrt.fm/track/479722/arttrk.com/p/CRMDA/claritaspod.com/measure/pscrb.fm/rss/p/stitcher.simplecastaudio.com/4b49775f-270f-442a-a912-b55f007e51c8/episodes/5f231183-439c-49cb-957f-039776dadfe1/audio/128/default.mp3?aid=rss_feed&awCollectionId=4b49775f-270f-442a-a912-b55f007e51c8&awEpisodeId=5f231183-439c-49cb-957f-039776dadfe1&feed=AeLYwXNc,audio/mpeg,"Sat, 23 Mar 2024 07:00:00 +0000","Roger Bennett and Tommy Vietor take a look at the history of Saudi Arabia, US-Saudi relations, and the Kingdom’s path to becoming a geopolitical force. They trace the unlikely rise of Crown Prince Mohammed Bin Salman from a lowly place in the royal hierarchy to de facto leader of the country, and examine his record of enacting major social reforms while brutally cracking down on critics and rivals. Guests Ben Hubbard, Sarah Leah Whitson, and Khalid Al Jabri provide insight through stories about the infamous lock-up at the Ritz Carlton in Riyadh, the murder of journalist Jamal Khashoggi, and the disappearance of even the family members of MBS’ political rivals. And finally, they unpack what MBS’ massive investment into soccer means for the global game. Listen to the second episode of this four-part series to find out."
Trump Says Jewish Democrats “Hate Israel”,https://crooked.com,text/html,"Wed, 20 Mar 2024 07:00:00 +0000","Tommy and Ben discuss the looming famine in Gaza, reactions to Senator Chuck Schumer’s call for new elections in Israel, Trump’s claim that Jewish Democrats “hate Israel”, secret talks between the US and Iran over attacks in the Red Sea by Houthis. They also talk about Jared Kushner’s luxury real estate developments in Serbia and Albania, Putin’s overwhelming election “victory”, Senator Lindsey Graham’s visit to Ukraine, a new study on Havana Syndrome, Niger ending counterterrorism cooperation with the US, dates announced for the Indian election, and Trump suggesting action should be taken against Prince Harry if he lied about drug use on his visa application. Then Tommy speaks to Josh Geltzer, Deputy Homeland Security Advisor for the White House National Security Council, about the debate over reauthorizing Section 702 of the Foreign Intelligence Surveillance Act."
Trump Says Jewish Democrats “Hate Israel”,https://pdst.fm/e/chrt.fm/track/479722/arttrk.com/p/CRMDA/claritaspod.com/measure/pscrb.fm/rss/p/stitcher.simplecastaudio.com/4b49775f-270f-442a-a912-b55f007e51c8/episodes/5a2feb93-025e-4fff-95d9-f83ad27d1867/audio/128/default.mp3?aid=rss_feed&awCollectionId=4b49775f-270f-442a-a912-b55f007e51c8&awEpisodeId=5a2feb93-025e-4fff-95d9-f83ad27d1867&feed=AeLYwXNc,audio/mpeg,"Wed, 20 Mar 2024 07:00:00 +0000","Tommy and Ben discuss the looming famine in Gaza, reactions to Senator Chuck Schumer’s call for new elections in Israel, Trump’s claim that Jewish Democrats “hate Israel”, secret talks between the US and Iran over attacks in the Red Sea by Houthis. They also talk about Jared Kushner’s luxury real estate developments in Serbia and Albania, Putin’s overwhelming election “victory”, Senator Lindsey Graham’s visit to Ukraine, a new study on Havana Syndrome, Niger ending counterterrorism cooperation with the US, dates announced for the Indian election, and Trump suggesting action should be taken against Prince Harry if he lied about drug use on his visa application. Then Tommy speaks to Josh Geltzer, Deputy Homeland Security Advisor for the White House National Security Council, about the debate over reauthorizing Section 702 of the Foreign Intelligence Surveillance Act."
"Football in the House of Saud: World Corrupt Season 2, Episode 1",https://crooked.com,text/html,"Sat, 16 Mar 2024 07:00:00 +0000","Roger Bennet and Tommy Vietor are back for Season 2 of World Corrupt! And this time, Rog and Tommy are diving into how Saudi Arabia, the biggest exporter of oil in the world and a nation in the news for human rights abuses, became the latest geopolitical power player sweeping global soccer. The Saudis have poured billions of dollars into the world’s most popular sport, including signing superstar players like Cristiano Ronaldo to eye-popping contracts. But the crown jewel in the Saudi investment portfolio? That would be the take over of one of England’s most historic football clubs, Newcastle United. A team with a rich history from an impoverished corner of the country, Newcastle had fallen upon hard times…and they welcomed the Saudis with open arms. But at what cost? Listen to the first episode of this four part series to find out."
"Football in the House of Saud: World Corrupt Season 2, Episode 1",https://pdst.fm/e/chrt.fm/track/479722/arttrk.com/p/CRMDA/claritaspod.com/measure/pscrb.fm/rss/p/stitcher.simplecastaudio.com/4b49775f-270f-442a-a912-b55f007e51c8/episodes/3fd3746e-41d6-49e0-b82d-7fad6f2f7487/audio/128/default.mp3?aid=rss_feed&awCollectionId=4b49775f-270f-442a-a912-b55f007e51c8&awEpisodeId=3fd3746e-41d6-49e0-b82d-7fad6f2f7487&feed=AeLYwXNc,audio/mpeg,"Sat, 16 Mar 2024 07:00:00 +0000","Roger Bennet and Tommy Vietor are back for Season 2 of World Corrupt! And this time, Rog and Tommy are diving into how Saudi Arabia, the biggest exporter of oil in the world and a nation in the news for human rights abuses, became the latest geopolitical power player sweeping global soccer. The Saudis have poured billions of dollars into the world’s most popular sport, including signing superstar players like Cristiano Ronaldo to eye-popping contracts. But the crown jewel in the Saudi investment portfolio? That would be the take over of one of England’s most historic football clubs, Newcastle United. A team with a rich history from an impoverished corner of the country, Newcastle had fallen upon hard times…and they welcomed the Saudis with open arms. But at what cost? Listen to the first episode of this four part series to find out."
Trump’s TikTok Flip Flop,https://crooked.com,text/html,"Wed, 13 Mar 2024 07:00:00 +0000","Tommy and Ben discuss plans for delivering aid to Gaza through a maritime route and floating pier, US “red lines” over an Israeli invasion of Rafah and the public war of words between Biden and Netanyahu in weekend interviews. They they talk about Viktor Orban’s visit to Mar-a-Lago, concerns from the intelligence community about giving Trump classified briefings during the election, the debate over banning TikTok, election news in Portugal and Turkey, a mass kidnaping in Nigeria, a failed constitutional amendment vote in Ireland, and the photoshop scandal that is fueling even more rumors about the Princess of Wales, Kate Middleton. Then Ben does a deep dive on the deteriorating situation in Haiti, which has become overrun by gangs, with Renatta Segura, Deputy Program Director for Latin America and the Caribbean at the International Crisis Group."
Trump’s TikTok Flip Flop,https://pdst.fm/e/chrt.fm/track/479722/arttrk.com/p/CRMDA/claritaspod.com/measure/pscrb.fm/rss/p/stitcher.simplecastaudio.com/4b49775f-270f-442a-a912-b55f007e51c8/episodes/0d0845ca-988a-4d2c-83b4-db58152b52a5/audio/128/default.mp3?aid=rss_feed&awCollectionId=4b49775f-270f-442a-a912-b55f007e51c8&awEpisodeId=0d0845ca-988a-4d2c-83b4-db58152b52a5&feed=AeLYwXNc,audio/mpeg,"Wed, 13 Mar 2024 07:00:00 +0000","Tommy and Ben discuss plans for delivering aid to Gaza through a maritime route and floating pier, US “red lines” over an Israeli invasion of Rafah and the public war of words between Biden and Netanyahu in weekend interviews. They they talk about Viktor Orban’s visit to Mar-a-Lago, concerns from the intelligence community about giving Trump classified briefings during the election, the debate over banning TikTok, election news in Portugal and Turkey, a mass kidnaping in Nigeria, a failed constitutional amendment vote in Ireland, and the photoshop scandal that is fueling even more rumors about the Princess of Wales, Kate Middleton. Then Ben does a deep dive on the deteriorating situation in Haiti, which has become overrun by gangs, with Renatta Segura, Deputy Program Director for Latin America and the Caribbean at the International Crisis Group."
World Corrupt Season 2: Trailer,https://crooked.com,text/html,"Sat, 9 Mar 2024 08:00:00 +0000","And, we're back! Join Roger Bennet and Tommy Vietor for another season of World Corrupt, with a focus on why Saudi Arabia is investing billions in football. Episode 1 coming March 16."
World Corrupt Season 2: Trailer,https://pdst.fm/e/chrt.fm/track/479722/arttrk.com/p/CRMDA/claritaspod.com/measure/pscrb.fm/rss/p/stitcher.simplecastaudio.com/4b49775f-270f-442a-a912-b55f007e51c8/episodes/9e3d75e9-b534-45f7-add7-304e09182634/audio/128/default.mp3?aid=rss_feed&awCollectionId=4b49775f-270f-442a-a912-b55f007e51c8&awEpisodeId=9e3d75e9-b534-45f7-add7-304e09182634&feed=AeLYwXNc,audio/mpeg,"Sat, 9 Mar 2024 08:00:00 +0000","And, we're back! Join Roger Bennet and Tommy Vietor for another season of World Corrupt, with a focus on why Saudi Arabia is investing billions in football. Episode 1 coming March 16."
