title,link,link_type,published,summary
"Stations of the Cross, An Easter Meditation: Gospel Study with Zachary Davis",https://www.dialoguejournal.com/diablogue/stations-of-the-cross-an-easter-meditation-gospel-study-with-zachary-davis/,text/html,"Sun, 24 Mar 2024 19:05:41 +0000","<p>The Stations of the Cross is a series of images representing the final moments of Jesus’ passion and have been used by centuries to aid Christian devotion and contemplation. In this online event produced in…</p>
<p>The post <a href=""https://www.dialoguejournal.com/diablogue/stations-of-the-cross-an-easter-meditation-gospel-study-with-zachary-davis/"">Stations of the Cross, An Easter Meditation: Gospel Study with Zachary Davis</a> appeared first on <a href=""https://www.dialoguejournal.com"">Dialogue Journal</a>.</p>"
"Stations of the Cross, An Easter Meditation: Gospel Study with Zachary Davis",https://media.blubrry.com/dialogue_journal/www.dialoguejournal.com/wp-content/uploads/podcasts/dialoguepodcast_161.mp3,audio/mpeg,"Sun, 24 Mar 2024 19:05:41 +0000","<p>The Stations of the Cross is a series of images representing the final moments of Jesus’ passion and have been used by centuries to aid Christian devotion and contemplation. In this online event produced in…</p>
<p>The post <a href=""https://www.dialoguejournal.com/diablogue/stations-of-the-cross-an-easter-meditation-gospel-study-with-zachary-davis/"">Stations of the Cross, An Easter Meditation: Gospel Study with Zachary Davis</a> appeared first on <a href=""https://www.dialoguejournal.com"">Dialogue Journal</a>.</p>"
Dialogue Lectures #34 w/Laurel Thatcher Ulrich (Rebroadcast),https://www.dialoguejournal.com/diablogue/dialogue-lectures-34-w-laurel-thatcher-ulrich-rebroadcast/,text/html,"Mon, 18 Mar 2024 16:00:46 +0000","<p>In honor of Women’s History Month, we’re rebroadcasting a special episode of the Dialogue Journal Podcast featuring Laurel Thatcher Ulrich, Pulitzer Prize-winning author and Harvard University professor. Join us as Ulrich discusses her book “A…</p>
<p>The post <a href=""https://www.dialoguejournal.com/diablogue/dialogue-lectures-34-w-laurel-thatcher-ulrich-rebroadcast/"">Dialogue Lectures #34 w/Laurel Thatcher Ulrich (Rebroadcast)</a> appeared first on <a href=""https://www.dialoguejournal.com"">Dialogue Journal</a>.</p>"
Dialogue Lectures #34 w/Laurel Thatcher Ulrich (Rebroadcast),https://media.blubrry.com/dialogue_journal/www.dialoguejournal.com/wp-content/uploads/2024/03/dialoguepodcast_34-enhanced-35p.mp3,audio/mpeg,"Mon, 18 Mar 2024 16:00:46 +0000","<p>In honor of Women’s History Month, we’re rebroadcasting a special episode of the Dialogue Journal Podcast featuring Laurel Thatcher Ulrich, Pulitzer Prize-winning author and Harvard University professor. Join us as Ulrich discusses her book “A…</p>
<p>The post <a href=""https://www.dialoguejournal.com/diablogue/dialogue-lectures-34-w-laurel-thatcher-ulrich-rebroadcast/"">Dialogue Lectures #34 w/Laurel Thatcher Ulrich (Rebroadcast)</a> appeared first on <a href=""https://www.dialoguejournal.com"">Dialogue Journal</a>.</p>"
Correlating Orthodoxy and Style: A Conversation with Noel A. Carmack,https://www.dialoguejournal.com/diablogue/correlating-orthodoxy-and-style-a-conversation-with-noel-a-carmack/,text/html,"Fri, 15 Mar 2024 06:02:00 +0000","<p>In this episode, we sit down with author Noel A. Carmack, discussing his illuminating article from the Winter 2023 issue of Dialogue: A Journal of Mormon Thought. Join us as we unravel the complexities of…</p>
<p>The post <a href=""https://www.dialoguejournal.com/diablogue/correlating-orthodoxy-and-style-a-conversation-with-noel-a-carmack/"">Correlating Orthodoxy and Style: A Conversation with Noel A. Carmack</a> appeared first on <a href=""https://www.dialoguejournal.com"">Dialogue Journal</a>.</p>"
Correlating Orthodoxy and Style: A Conversation with Noel A. Carmack,https://media.blubrry.com/dialogue_journal/www.dialoguejournal.com/wp-content/uploads/2024/03/Noel-Carmack-Interview-full-audio-1.mp3,audio/mpeg,"Fri, 15 Mar 2024 06:02:00 +0000","<p>In this episode, we sit down with author Noel A. Carmack, discussing his illuminating article from the Winter 2023 issue of Dialogue: A Journal of Mormon Thought. Join us as we unravel the complexities of…</p>
<p>The post <a href=""https://www.dialoguejournal.com/diablogue/correlating-orthodoxy-and-style-a-conversation-with-noel-a-carmack/"">Correlating Orthodoxy and Style: A Conversation with Noel A. Carmack</a> appeared first on <a href=""https://www.dialoguejournal.com"">Dialogue Journal</a>.</p>"
"Women’s History Month Special Afterchat with Maxine Hanks, Jana Spangler and Jody Hansen",https://www.dialoguejournal.com/diablogue/womens-history-month-special-afterchat-with-maxine-hanks-jana-spangler-and-jody-hansen/,text/html,"Wed, 13 Mar 2024 20:15:10 +0000","<p>As a Women’s History Month bonus for our Dialogue listeners, find more beautiful and important insights from Maxine Hanks, Jana Spangler and Jody England Hansen on 2 Nephi.</p>
<p>The post <a href=""https://www.dialoguejournal.com/diablogue/womens-history-month-special-afterchat-with-maxine-hanks-jana-spangler-and-jody-hansen/"">Women’s History Month Special Afterchat with Maxine Hanks, Jana Spangler and Jody Hansen</a> appeared first on <a href=""https://www.dialoguejournal.com"">Dialogue Journal</a>.</p>"
"Women’s History Month Special Afterchat with Maxine Hanks, Jana Spangler and Jody Hansen",https://media.blubrry.com/dialogue_journal/www.dialoguejournal.com/wp-content/uploads/podcasts/dialogueafterchat_3.mp3,audio/mpeg,"Wed, 13 Mar 2024 20:15:10 +0000","<p>As a Women’s History Month bonus for our Dialogue listeners, find more beautiful and important insights from Maxine Hanks, Jana Spangler and Jody England Hansen on 2 Nephi.</p>
<p>The post <a href=""https://www.dialoguejournal.com/diablogue/womens-history-month-special-afterchat-with-maxine-hanks-jana-spangler-and-jody-hansen/"">Women’s History Month Special Afterchat with Maxine Hanks, Jana Spangler and Jody Hansen</a> appeared first on <a href=""https://www.dialoguejournal.com"">Dialogue Journal</a>.</p>"
Exploring New Universes in Fiction: A Conversation with John Bennion,https://www.dialoguejournal.com/diablogue/exploring-new-universes-in-fiction-a-conversation-with-john-bennion/,text/html,"Mon, 11 Mar 2024 07:09:00 +0000","<p>Join us on this captivating episode of Dialogue Out Loud as we delve into the imaginative realms of fiction with acclaimed author John Bennion. In this installment, our host engages in a thought-provoking conversation with…</p>
<p>The post <a href=""https://www.dialoguejournal.com/diablogue/exploring-new-universes-in-fiction-a-conversation-with-john-bennion/"">Exploring New Universes in Fiction: A Conversation with John Bennion</a> appeared first on <a href=""https://www.dialoguejournal.com"">Dialogue Journal</a>.</p>"
Exploring New Universes in Fiction: A Conversation with John Bennion,https://media.blubrry.com/dialogue_journal/www.dialoguejournal.com/wp-content/uploads/2024/03/John-Bennion-Interview-full-audio.mp3,audio/mpeg,"Mon, 11 Mar 2024 07:09:00 +0000","<p>Join us on this captivating episode of Dialogue Out Loud as we delve into the imaginative realms of fiction with acclaimed author John Bennion. In this installment, our host engages in a thought-provoking conversation with…</p>
<p>The post <a href=""https://www.dialoguejournal.com/diablogue/exploring-new-universes-in-fiction-a-conversation-with-john-bennion/"">Exploring New Universes in Fiction: A Conversation with John Bennion</a> appeared first on <a href=""https://www.dialoguejournal.com"">Dialogue Journal</a>.</p>"
