title,link,link_type,published,summary
More Major Scale Practice,https://www.buzzsprout.com/832021/3120001-more-major-scale-practice.mp3,audio/mpeg,"Fri, 27 Nov 2020 16:00:00 -0500",<p>Solfege practice with the major scale.</p>
More Minor Scale Practice,https://www.buzzsprout.com/832021/3119806-more-minor-scale-practice.mp3,audio/mpeg,"Tue, 24 Nov 2020 04:00:00 -0500","<p>Today, it&apos;s more practice with the minor scale - solfege and all.</p>"
BASICS: The Minor Scale,https://www.buzzsprout.com/832021/3237859-basics-the-minor-scale.mp3,audio/mpeg,"Tue, 17 Nov 2020 04:00:00 -0500","<p>Another valuable day of minor scale exercises. Natural minor, Dorian, Melodic Minor, Harmonic Minor.</p>"
BASICS: Sing the Major Scale,https://www.buzzsprout.com/832021/3193735-basics-sing-the-major-scale.mp3,audio/mpeg,"Tue, 10 Nov 2020 04:00:00 -0500","<p>Today, let&apos;s return to our roots and sing major scales. It&apos;s good for your theory knowledge, good for your intonation, good for your soul.<br /><br />Support us at Patreon!<br />https://www.patreon.com/user?u=31152721</p>"
Minor Thirds & Major Thirds,https://www.buzzsprout.com/832021/3094570-minor-thirds-major-thirds.mp3,audio/mpeg,"Tue, 03 Nov 2020 04:00:00 -0500","<p>Some exercises on the two qualities of third, and the way they stack into chords.</p>"
Let's Play Around the Minor Scale!,https://www.buzzsprout.com/832021/3039148-let-s-play-around-the-minor-scale.mp3,audio/mpeg,"Tue, 27 Oct 2020 04:00:00 -0400",<p>Some exercises for you to sing along and get better at Minor Solfege</p>
What are you hearing?,https://www.buzzsprout.com/832021/3411028-what-are-you-hearing.mp3,audio/mpeg,"Tue, 20 Oct 2020 04:00:00 -0400",
Don't Start With Sheet Music,https://www.buzzsprout.com/832021/2945368-don-t-start-with-sheet-music.mp3,audio/mpeg,"Tue, 13 Oct 2020 04:00:00 -0400",
Inversions and Slash Chords Pt. 2,https://www.buzzsprout.com/832021/3193714-inversions-and-slash-chords-pt-2.mp3,audio/mpeg,"Tue, 06 Oct 2020 04:00:00 -0400","<p>Today, Sam talks about Inversions and Slash Chords and gives some opportunity to practice.<br /><br /><br /></p>"
Inversions and Slash Chords Pt. 1,https://www.buzzsprout.com/832021/3193705-inversions-and-slash-chords-pt-1.mp3,audio/mpeg,"Tue, 06 Oct 2020 04:00:00 -0400","<p>Today, Sam talks about Inversions and Slash Chords and gives some opportunity to practice.<br /><br /><br /></p>"
