title,link,link_type,published,summary
What does the Moscow attack mean for Vladimir Putin?,https://chrt.fm/track/383EG2/traffic.omny.fm/d/clips/9c074afa-3313-47e8-b802-a9f900789975/09af2160-238f-48b2-b20b-ad4b00ebd8e7/5c9eca96-fdd9-402b-8c4a-b13e015d4adb/audio.mp3?utm_source=Podcast&in_playlist=b86dddc1-67a5-41c2-a13c-ad4b00ebd8f5,audio/mpeg,"Tue, 26 Mar 2024 04:00:00 +0000","<p>Russia has charged four men for the attack on Friday that killed at least 137 people in Moscow. ISIL-K has claimed responsibility, while Russian President Vladimir Putin has blamed Ukraine. Putin is just coming off another election victory, and has long promised the country security. Will the worst attack on civilians in Moscow in more than a decade have an effect on his power? </p>
<p><strong>In this episode: </strong><strong></strong></p>
<ul>
<li>Dorsa Jabbari (<a href=""https://twitter.com/DorsaJabbari"">@DorsaJabbari</a>), Al Jazeera Correspondent</li>
</ul>
<p><strong>Episode credits:</strong></p>
<p><em>This episode was produced by David Enders and Fahrinisa Campana with our host Malika Bilal. Chloe K. Li fact-checked this episode.</em></p>
<p><em>Our sound designer is Alex Roldan. Joe Plourde mixed this episode. Our lead of audience development and engagement is Aya Elmileik and Adam Abou-Gad is our engagement producer.</em></p>
<p><em>Alexandra Locke is The Take’s executive producer. Ney Alvarez is Al Jazeera's head of audio.</em></p>
<p><strong>Connect with us:</strong></p>
<p>@AJEPodcasts on <a href=""https://twitter.com/AJEPodcasts"">Twitter</a>, <a href=""https://www.instagram.com/ajepodcasts/"">Instagram, </a><a href=""https://www.facebook.com/AJEPodcasts"">Facebook</a>, <a href=""https://www.threads.net/@ajepodcasts"">Threads</a> and <a href=""https://www.youtube.com/playlist?list=PLzGHKb8i9vTwjZkiFu6LhzsLUKFkYO60I"">YouTube</a></p>"
What does the Moscow attack mean for Vladimir Putin?,https://aj.audio/TheTake-826,text/html,"Tue, 26 Mar 2024 04:00:00 +0000","<p>Russia has charged four men for the attack on Friday that killed at least 137 people in Moscow. ISIL-K has claimed responsibility, while Russian President Vladimir Putin has blamed Ukraine. Putin is just coming off another election victory, and has long promised the country security. Will the worst attack on civilians in Moscow in more than a decade have an effect on his power? </p>
<p><strong>In this episode: </strong><strong></strong></p>
<ul>
<li>Dorsa Jabbari (<a href=""https://twitter.com/DorsaJabbari"">@DorsaJabbari</a>), Al Jazeera Correspondent</li>
</ul>
<p><strong>Episode credits:</strong></p>
<p><em>This episode was produced by David Enders and Fahrinisa Campana with our host Malika Bilal. Chloe K. Li fact-checked this episode.</em></p>
<p><em>Our sound designer is Alex Roldan. Joe Plourde mixed this episode. Our lead of audience development and engagement is Aya Elmileik and Adam Abou-Gad is our engagement producer.</em></p>
<p><em>Alexandra Locke is The Take’s executive producer. Ney Alvarez is Al Jazeera's head of audio.</em></p>
<p><strong>Connect with us:</strong></p>
<p>@AJEPodcasts on <a href=""https://twitter.com/AJEPodcasts"">Twitter</a>, <a href=""https://www.instagram.com/ajepodcasts/"">Instagram, </a><a href=""https://www.facebook.com/AJEPodcasts"">Facebook</a>, <a href=""https://www.threads.net/@ajepodcasts"">Threads</a> and <a href=""https://www.youtube.com/playlist?list=PLzGHKb8i9vTwjZkiFu6LhzsLUKFkYO60I"">YouTube</a></p>"
SpaceX spy satellites are coming to Earth's orbit,https://chrt.fm/track/383EG2/traffic.omny.fm/d/clips/9c074afa-3313-47e8-b802-a9f900789975/09af2160-238f-48b2-b20b-ad4b00ebd8e7/facd65a9-2003-4c99-96f4-b13b0131e9de/audio.mp3?utm_source=Podcast&in_playlist=b86dddc1-67a5-41c2-a13c-ad4b00ebd8f5,audio/mpeg,"Mon, 25 Mar 2024 04:00:00 +0000","<p>A US intelligence agency has partnered with Elon Musk’s SpaceX to build a vast network of spy satellites, according to exclusive reporting by Reuters, and sparking criticism from rival space powers China and Russia. What does this new agreement mean for the global space race? </p>
<p><strong>In this episode: </strong></p>
<ul>
<li>Joey Roulette (<a href=""https://twitter.com/joroulette?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor"">@joroulette</a>), Reuters Space Reporter </li>
</ul>
<p><strong>Episode credits:</strong></p>
<p><em>This episode was produced by Ashish Malhotra and Chloe K. Li with our host Malika Bilal. Fahrinisa Campana fact-checked this episode.</em></p>
<p><em>Our sound designer is Alex Roldan. Joe Plourde mixed this episode. Our lead of audience development and engagement is Aya Elmileik and Adam Abou-Gad is our engagement producer.</em></p>
<p><em>Alexandra Locke is The Take’s executive producer. Ney Alvarez is Al Jazeera's head of audio.</em></p>
<p><strong>Connect with us:</strong></p>
<p>@AJEPodcasts on <a href=""https://twitter.com/AJEPodcasts"">Twitter</a>, <a href=""https://www.instagram.com/ajepodcasts/"">Instagram, </a><a href=""https://www.facebook.com/AJEPodcasts"">Facebook</a>, <a href=""https://www.threads.net/@ajepodcasts"">Threads</a> and <a href=""https://www.youtube.com/playlist?list=PLzGHKb8i9vTwjZkiFu6LhzsLUKFkYO60I"">YouTube</a></p>"
SpaceX spy satellites are coming to Earth's orbit,https://aj.audio/TheTake-825,text/html,"Mon, 25 Mar 2024 04:00:00 +0000","<p>A US intelligence agency has partnered with Elon Musk’s SpaceX to build a vast network of spy satellites, according to exclusive reporting by Reuters, and sparking criticism from rival space powers China and Russia. What does this new agreement mean for the global space race? </p>
<p><strong>In this episode: </strong></p>
<ul>
<li>Joey Roulette (<a href=""https://twitter.com/joroulette?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor"">@joroulette</a>), Reuters Space Reporter </li>
</ul>
<p><strong>Episode credits:</strong></p>
<p><em>This episode was produced by Ashish Malhotra and Chloe K. Li with our host Malika Bilal. Fahrinisa Campana fact-checked this episode.</em></p>
<p><em>Our sound designer is Alex Roldan. Joe Plourde mixed this episode. Our lead of audience development and engagement is Aya Elmileik and Adam Abou-Gad is our engagement producer.</em></p>
<p><em>Alexandra Locke is The Take’s executive producer. Ney Alvarez is Al Jazeera's head of audio.</em></p>
<p><strong>Connect with us:</strong></p>
<p>@AJEPodcasts on <a href=""https://twitter.com/AJEPodcasts"">Twitter</a>, <a href=""https://www.instagram.com/ajepodcasts/"">Instagram, </a><a href=""https://www.facebook.com/AJEPodcasts"">Facebook</a>, <a href=""https://www.threads.net/@ajepodcasts"">Threads</a> and <a href=""https://www.youtube.com/playlist?list=PLzGHKb8i9vTwjZkiFu6LhzsLUKFkYO60I"">YouTube</a></p>"
"In Gaza, hospital siege continues as US resolution vetoed at UN",https://chrt.fm/track/383EG2/traffic.omny.fm/d/clips/9c074afa-3313-47e8-b802-a9f900789975/09af2160-238f-48b2-b20b-ad4b00ebd8e7/90e75085-4be8-49e0-be21-b13d00c10b56/audio.mp3?utm_source=Podcast&in_playlist=b86dddc1-67a5-41c2-a13c-ad4b00ebd8f5,audio/mpeg,"Sun, 24 Mar 2024 13:01:26 +0000","<p>We are coming to you on Sundays with weekly roundups as Israel's war on Gaza continues. The war is in its 170th day. The Israeli military siege of Gaza's largest hospital continued. A vote on a new UN ceasefire resolution is expected. Israeli forces once more shot and killed Palestinians seeking aid. More than 32,000 Palestinians in Gaza have now been killed. </p>
<p><strong>In this episode:</strong></p>
<ul>
<li>Anas Al Sharif (<a href=""https://twitter.com/Hind_Gaza""></a><a href=""https://twitter.com/anasalsharif0?lang=en"">@AnasAlSharif0</a>), Journalist for Al Jazeera</li>
<li>Gabriel Elizondo (<a href=""https://twitter.com/elizondogabriel"">@elizondogabriel</a>), Al Jazeera Correspondent </li>
<li>Hamdah Salhut (<a href=""https://twitter.com/hamdahsalhut"">@HamdahSalhut</a>), Al Jazeera Correspondent</li>
</ul>
<p><strong>Episode credits:</strong></p>
<p><em>This episode was produced and mixed by David Enders. <br /></em></p>
<p><em>Our sound designer is Alex Roldan. Our lead of audience development and engagement is Aya Elmileik and Adam Abou-Gad is our engagement producer.</em></p>
<p><em>Alexandra Locke is The Take’s executive producer. Ney Alvarez is Al Jazeera's head of audio.</em></p>
<p><strong>Connect with us:</strong></p>
<p>@AJEPodcasts on <a href=""https://twitter.com/AJEPodcasts"">Twitter</a>, <a href=""https://www.instagram.com/ajepodcasts/"">Instagram, </a><a href=""https://www.facebook.com/AJEPodcasts"">Facebook</a>, <a href=""https://www.threads.net/@ajepodcasts"">Threads</a> and <a href=""https://www.youtube.com/playlist?list=PLzGHKb8i9vTwjZkiFu6LhzsLUKFkYO60I"">YouTube</a></p>
<p dir=""auto""> </p>
<p dir=""auto""> </p>"
"In Gaza, hospital siege continues as US resolution vetoed at UN",https://omny.fm/shows/the-take/in-gaza-hospital-siege-continues-as-us-resolution,text/html,"Sun, 24 Mar 2024 13:01:26 +0000","<p>We are coming to you on Sundays with weekly roundups as Israel's war on Gaza continues. The war is in its 170th day. The Israeli military siege of Gaza's largest hospital continued. A vote on a new UN ceasefire resolution is expected. Israeli forces once more shot and killed Palestinians seeking aid. More than 32,000 Palestinians in Gaza have now been killed. </p>
<p><strong>In this episode:</strong></p>
<ul>
<li>Anas Al Sharif (<a href=""https://twitter.com/Hind_Gaza""></a><a href=""https://twitter.com/anasalsharif0?lang=en"">@AnasAlSharif0</a>), Journalist for Al Jazeera</li>
<li>Gabriel Elizondo (<a href=""https://twitter.com/elizondogabriel"">@elizondogabriel</a>), Al Jazeera Correspondent </li>
<li>Hamdah Salhut (<a href=""https://twitter.com/hamdahsalhut"">@HamdahSalhut</a>), Al Jazeera Correspondent</li>
</ul>
<p><strong>Episode credits:</strong></p>
<p><em>This episode was produced and mixed by David Enders. <br /></em></p>
<p><em>Our sound designer is Alex Roldan. Our lead of audience development and engagement is Aya Elmileik and Adam Abou-Gad is our engagement producer.</em></p>
<p><em>Alexandra Locke is The Take’s executive producer. Ney Alvarez is Al Jazeera's head of audio.</em></p>
<p><strong>Connect with us:</strong></p>
<p>@AJEPodcasts on <a href=""https://twitter.com/AJEPodcasts"">Twitter</a>, <a href=""https://www.instagram.com/ajepodcasts/"">Instagram, </a><a href=""https://www.facebook.com/AJEPodcasts"">Facebook</a>, <a href=""https://www.threads.net/@ajepodcasts"">Threads</a> and <a href=""https://www.youtube.com/playlist?list=PLzGHKb8i9vTwjZkiFu6LhzsLUKFkYO60I"">YouTube</a></p>
<p dir=""auto""> </p>
<p dir=""auto""> </p>"
Another Take: Is the 4-day week the future of work?,https://chrt.fm/track/383EG2/traffic.omny.fm/d/clips/9c074afa-3313-47e8-b802-a9f900789975/09af2160-238f-48b2-b20b-ad4b00ebd8e7/e8fcd625-fa49-4015-826e-b13b010079f5/audio.mp3?utm_source=Podcast&in_playlist=b86dddc1-67a5-41c2-a13c-ad4b00ebd8f5,audio/mpeg,"Sat, 23 Mar 2024 04:00:00 +0000","<p><strong>Every Saturday, we revisit a story that’s in the news again. This week, we're revisiting a global study that found a 4-day working week resulted in a high level of satisfaction on the part of both employers and employees.  </strong></p>
<p><strong>This originally aired on May 31, 2023. None of the dates, titles, or other references from that time have been changed. </strong></p>
<p>Are we on the verge of another workplace revolution? It’s possible to work fewer hours and keep the same level of pay and productivity, according to results of the largest-ever trial of a four-day workweek held in the United Kingdom. Traditional work routines were upended by the COVID-19 pandemic, and there’s increased demand for more flexible schedules. But in many parts of the world, even a five-day week is a luxury. So can a four-day workweek work for everyone?</p>
<p><strong>In this episode: </strong></p>
<ul>
<li>Juliet Schor (<a href=""https://twitter.com/julietschor"">@JulietSchor</a>), Sociology Professor at Boston College and Lead Researcher, 4-Day Week Global</li>
<li>Wen Fan, Associate Professor at Boston College and Researcher, 4-Day Week Global</li>
<li>Kıvanç Eliaçık (<a href=""https://twitter.com/diskinsesi"">@Diskinsesi</a>), International Director for the Confederation of Progressive Trade Unions of Turkey (DISK)</li>
<li>Ignacia López, Chilean Labor Lawyer</li>
<li>Jaya Dass (<a href=""https://twitter.com/randstad_sg"">@Randstad_SG</a>), Managing Director of Permanent Recruitment in Asia Pacific at Randstad</li>
</ul>
<p><strong>Episode credits:</strong></p>
<p><em>This episode was updated by Fahrinisa Campana and Joe Plourde. The original production team was Miranda Lin, Khaled Soltan, Tim St. Clair, and our host, Malika Bilal. </em></p>
<p><em>Our sound designer is Alex Roldan. Our lead of audience development and engagement is Aya Elmileik. Adam Abou-Gad is our engagement producer.</em></p>
<p><em>Alexandra Locke is The Take’s executive producer, and Ney Alvarez is Al Jazeera’s head of audio.</em></p>
<p><strong>Connect with us:</strong></p>
<p>@AJEPodcasts on <a href=""https://twitter.com/AJEPodcasts"">Twitter</a>, <a href=""https://www.instagram.com/ajepodcasts/"">Instagram, </a><a href=""https://www.facebook.com/AJEPodcasts"">Facebook</a>, <a href=""https://www.threads.net/@ajepodcasts"">Threads</a> and <a href=""https://www.youtube.com/playlist?list=PLzGHKb8i9vTwjZkiFu6LhzsLUKFkYO60I"">YouTube</a></p>"
Another Take: Is the 4-day week the future of work?,https://omny.fm/shows/the-take/another-take-is-the-4-day-week-the-future-of-work,text/html,"Sat, 23 Mar 2024 04:00:00 +0000","<p><strong>Every Saturday, we revisit a story that’s in the news again. This week, we're revisiting a global study that found a 4-day working week resulted in a high level of satisfaction on the part of both employers and employees.  </strong></p>
<p><strong>This originally aired on May 31, 2023. None of the dates, titles, or other references from that time have been changed. </strong></p>
<p>Are we on the verge of another workplace revolution? It’s possible to work fewer hours and keep the same level of pay and productivity, according to results of the largest-ever trial of a four-day workweek held in the United Kingdom. Traditional work routines were upended by the COVID-19 pandemic, and there’s increased demand for more flexible schedules. But in many parts of the world, even a five-day week is a luxury. So can a four-day workweek work for everyone?</p>
<p><strong>In this episode: </strong></p>
<ul>
<li>Juliet Schor (<a href=""https://twitter.com/julietschor"">@JulietSchor</a>), Sociology Professor at Boston College and Lead Researcher, 4-Day Week Global</li>
<li>Wen Fan, Associate Professor at Boston College and Researcher, 4-Day Week Global</li>
<li>Kıvanç Eliaçık (<a href=""https://twitter.com/diskinsesi"">@Diskinsesi</a>), International Director for the Confederation of Progressive Trade Unions of Turkey (DISK)</li>
<li>Ignacia López, Chilean Labor Lawyer</li>
<li>Jaya Dass (<a href=""https://twitter.com/randstad_sg"">@Randstad_SG</a>), Managing Director of Permanent Recruitment in Asia Pacific at Randstad</li>
</ul>
<p><strong>Episode credits:</strong></p>
<p><em>This episode was updated by Fahrinisa Campana and Joe Plourde. The original production team was Miranda Lin, Khaled Soltan, Tim St. Clair, and our host, Malika Bilal. </em></p>
<p><em>Our sound designer is Alex Roldan. Our lead of audience development and engagement is Aya Elmileik. Adam Abou-Gad is our engagement producer.</em></p>
<p><em>Alexandra Locke is The Take’s executive producer, and Ney Alvarez is Al Jazeera’s head of audio.</em></p>
<p><strong>Connect with us:</strong></p>
<p>@AJEPodcasts on <a href=""https://twitter.com/AJEPodcasts"">Twitter</a>, <a href=""https://www.instagram.com/ajepodcasts/"">Instagram, </a><a href=""https://www.facebook.com/AJEPodcasts"">Facebook</a>, <a href=""https://www.threads.net/@ajepodcasts"">Threads</a> and <a href=""https://www.youtube.com/playlist?list=PLzGHKb8i9vTwjZkiFu6LhzsLUKFkYO60I"">YouTube</a></p>"
"Senegal won back its election, but who will win the vote?",https://chrt.fm/track/383EG2/traffic.omny.fm/d/clips/9c074afa-3313-47e8-b802-a9f900789975/09af2160-238f-48b2-b20b-ad4b00ebd8e7/8593e095-b0f6-49d9-92c6-b13a01674b8a/audio.mp3?utm_source=Podcast&in_playlist=b86dddc1-67a5-41c2-a13c-ad4b00ebd8f5,audio/mpeg,"Fri, 22 Mar 2024 04:00:00 +0000","<p>Senegal’s democracy was teetering after the presidential election was postponed. Now, it’s back on track and slated for this Sunday, but what will the country’s voters choose for their future?</p>
<p><strong>In this episode: </strong><strong></strong></p>
<ul>
<li>Nicolas Haque (<a href=""https://twitter.com/nicolashaque"">@nicolashaque</a>), Al Jazeera Correspondent </li>
</ul>
<p><strong>Episode credits:</strong></p>
<p><em>This episode was produced by Fahrinisa Campana, David Enders and Amy Walters with our host Malika Bilal. David Enders and Khaled Soltan fact-checked this episode.</em></p>
<p><em>Our sound designer is Alex Roldan. Our lead of audience development and engagement is Aya Elmileik and Adam Abou-Gad is our engagement producer.</em></p>
<p><em>Alexandra Locke is The Take’s executive producer. Ney Alvarez is Al Jazeera's head of audio.</em></p>
<p><strong>Connect with us:</strong></p>
<p>@AJEPodcasts on <a href=""https://twitter.com/AJEPodcasts"">Twitter</a>, <a href=""https://www.instagram.com/ajepodcasts/"">Instagram, </a><a href=""https://www.facebook.com/AJEPodcasts"">Facebook</a>, <a href=""https://www.threads.net/@ajepodcasts"">Threads</a> and <a href=""https://www.youtube.com/playlist?list=PLzGHKb8i9vTwjZkiFu6LhzsLUKFkYO60I"">YouTube</a></p>"
"Senegal won back its election, but who will win the vote?",https://aj.audio/TheTake-822,text/html,"Fri, 22 Mar 2024 04:00:00 +0000","<p>Senegal’s democracy was teetering after the presidential election was postponed. Now, it’s back on track and slated for this Sunday, but what will the country’s voters choose for their future?</p>
<p><strong>In this episode: </strong><strong></strong></p>
<ul>
<li>Nicolas Haque (<a href=""https://twitter.com/nicolashaque"">@nicolashaque</a>), Al Jazeera Correspondent </li>
</ul>
<p><strong>Episode credits:</strong></p>
<p><em>This episode was produced by Fahrinisa Campana, David Enders and Amy Walters with our host Malika Bilal. David Enders and Khaled Soltan fact-checked this episode.</em></p>
<p><em>Our sound designer is Alex Roldan. Our lead of audience development and engagement is Aya Elmileik and Adam Abou-Gad is our engagement producer.</em></p>
<p><em>Alexandra Locke is The Take’s executive producer. Ney Alvarez is Al Jazeera's head of audio.</em></p>
<p><strong>Connect with us:</strong></p>
<p>@AJEPodcasts on <a href=""https://twitter.com/AJEPodcasts"">Twitter</a>, <a href=""https://www.instagram.com/ajepodcasts/"">Instagram, </a><a href=""https://www.facebook.com/AJEPodcasts"">Facebook</a>, <a href=""https://www.threads.net/@ajepodcasts"">Threads</a> and <a href=""https://www.youtube.com/playlist?list=PLzGHKb8i9vTwjZkiFu6LhzsLUKFkYO60I"">YouTube</a></p>"
