title,link,link_type,published,summary
S10E20: SPOJENÉ ARABSKÉ EMIRÁTY - Inshallah,https://vsesvet.podbean.com/e/s10e20spojene-arabske-emiraty/,text/html,"Tue, 20 Feb 2024 12:00:22 +0100","Spojené arabské emiráty sme posledné dva roky spomínali vo viacerých epizódach, je preto čas sa pozrieť bližšie, čo je v tejto krajine zaujímavé aj mimo Dubaja, a že je toho naozaj dosť.
Moderátorka Všesvet podcastu Tina Paholík Hamárová síce žije celý ten čas v Dubaji, no pracuje v Abú Dhabí a s manželom Pachom, či sama na motorke prebrázdila všetkých 7 emirátov. V poslednej časti desiatej série Všesvet podcastu budete preto počuť, kde sa vybrať za nekonečnými pieskovými dunami, no ako sa pri tom vyhnúť bláznivým Arabom, ktorí po nich milujú jazdiť na svojich štvorkolách. Tiež, kde sú hory podobné tatranským štítom, hip kaviarne s výberovou kávou, okruhy na ťavie preteky, palmové háje, majestátne mešity či krčma s českým pivom.
Navyše Tina priblíži ako taký život v Emirátoch vyzerá, kde sa treba ako správať či obliekať, aké sú emirátske tradície a vôbec ako sa žije uprostred rozmanitej zmesi ľudí z celého sveta, ktorí v SAE žijú.
Napriek veselým príhodám a krásnym miestam, ktoré v podcaste spomíname, sme sa rozprávali aj o nepríjemných pracovných skúsenostiach, ktoré často nevieme včas ovplyvniť a potom nám môžu pokaziť zážitok z pobytu v zahraničí. Aj to však patrí k takému nomádskemu životu a určite by vás nemalo odradiť od toho, aby ste si život expata skúsili niekedy aj vy. A možno práve v Spojených Arabských Emirátoch.
Ďakujeme, že Všesvet podcast podporujete na Patreone. Celkovo už nájdete viac ako 235 častí o vyše sto krajinách sveta. Jedenásta séria podcastu sa vráti na stránky denníka SME o niekoľko mesiacov."
S10E20: SPOJENÉ ARABSKÉ EMIRÁTY - Inshallah,https://mcdn.podbean.com/mf/web/akqw43/1020_UAE_tina_check_FINAL8qxo4.mp3,audio/mpeg,"Tue, 20 Feb 2024 12:00:22 +0100","Spojené arabské emiráty sme posledné dva roky spomínali vo viacerých epizódach, je preto čas sa pozrieť bližšie, čo je v tejto krajine zaujímavé aj mimo Dubaja, a že je toho naozaj dosť.
Moderátorka Všesvet podcastu Tina Paholík Hamárová síce žije celý ten čas v Dubaji, no pracuje v Abú Dhabí a s manželom Pachom, či sama na motorke prebrázdila všetkých 7 emirátov. V poslednej časti desiatej série Všesvet podcastu budete preto počuť, kde sa vybrať za nekonečnými pieskovými dunami, no ako sa pri tom vyhnúť bláznivým Arabom, ktorí po nich milujú jazdiť na svojich štvorkolách. Tiež, kde sú hory podobné tatranským štítom, hip kaviarne s výberovou kávou, okruhy na ťavie preteky, palmové háje, majestátne mešity či krčma s českým pivom.
Navyše Tina priblíži ako taký život v Emirátoch vyzerá, kde sa treba ako správať či obliekať, aké sú emirátske tradície a vôbec ako sa žije uprostred rozmanitej zmesi ľudí z celého sveta, ktorí v SAE žijú.
Napriek veselým príhodám a krásnym miestam, ktoré v podcaste spomíname, sme sa rozprávali aj o nepríjemných pracovných skúsenostiach, ktoré často nevieme včas ovplyvniť a potom nám môžu pokaziť zážitok z pobytu v zahraničí. Aj to však patrí k takému nomádskemu životu a určite by vás nemalo odradiť od toho, aby ste si život expata skúsili niekedy aj vy. A možno práve v Spojených Arabských Emirátoch.
Ďakujeme, že Všesvet podcast podporujete na Patreone. Celkovo už nájdete viac ako 235 častí o vyše sto krajinách sveta. Jedenásta séria podcastu sa vráti na stránky denníka SME o niekoľko mesiacov."
S10E19: GRUZÍNSKO S WHISKYM - Miznúci autentický svet,https://vsesvet.podbean.com/e/s10e19-gruzinsko-s-whiskym-sovietsky-film/,text/html,"Wed, 14 Feb 2024 13:57:20 +0100","Nášho tohtotýždňového hosťa pravdepodobne poznáte najmä ako speváka kapely Slobodná Európa. Miloslav Láber alias Whisky má však precestované desiatky krajín, o ktorých môže rozprávať. Do niektorých sa pritom rád vracia aj každý rok. Jeho srdcovka je napríklad Gruzínsko, kde ho očarila najmä rozmanitosť krajiny a často výjavy ako z iného storočia.
„Pri jazere Paravani je jedna dedinka, ktorá je opustená, taký ghost town. V druhej síce žijú ľudia, ale tam to vyzerá ako v sovietskom filme z roku 1962,” spomína v podcaste Whisky.
V rámci jedného dňa stíhate v Gruzínsku trekovať v horách, navštíviť stredoveký kláštor a večer skončiť vo veľkomeste na výstave Banksyho. Gruzínsko je podľa Whiskyho aj skvelá destinácia na off-road výlety a najmä úprimný kontakt s miestnymi, ktorí sa síce za posledné desaťročie trochu prispôsobili turizmu, no stále si udržiavajú aj vlastnú autentickú prívetivosť k novým návštevníkom.
Aj v dnešnej epizóde ďakujeme všetkým našim Patreonom a Patreonkám, najmä našim ambasádorom Radovanovi, Michalovi s Jankou, Majke, Ivanovi, Braňovi, Filipovi, Andrejovi, Michalovi, Patrikovi a Romanovi. Ste naša veľká motivácia a podpora robiť Všesvet podcast aj naďalej. Ak sa aj vy chcete stať našimi ambasádormi, skočte na stránku patreon.com a hľadajte VŠESVET PODCAST. Veľké ďakujeme!"
S10E19: GRUZÍNSKO S WHISKYM - Miznúci autentický svet,https://mcdn.podbean.com/mf/web/g4rh9e/1019_Gruzinsko_s_Whiskym_FINALaehwm.mp3,audio/mpeg,"Wed, 14 Feb 2024 13:57:20 +0100","Nášho tohtotýždňového hosťa pravdepodobne poznáte najmä ako speváka kapely Slobodná Európa. Miloslav Láber alias Whisky má však precestované desiatky krajín, o ktorých môže rozprávať. Do niektorých sa pritom rád vracia aj každý rok. Jeho srdcovka je napríklad Gruzínsko, kde ho očarila najmä rozmanitosť krajiny a často výjavy ako z iného storočia.
„Pri jazere Paravani je jedna dedinka, ktorá je opustená, taký ghost town. V druhej síce žijú ľudia, ale tam to vyzerá ako v sovietskom filme z roku 1962,” spomína v podcaste Whisky.
V rámci jedného dňa stíhate v Gruzínsku trekovať v horách, navštíviť stredoveký kláštor a večer skončiť vo veľkomeste na výstave Banksyho. Gruzínsko je podľa Whiskyho aj skvelá destinácia na off-road výlety a najmä úprimný kontakt s miestnymi, ktorí sa síce za posledné desaťročie trochu prispôsobili turizmu, no stále si udržiavajú aj vlastnú autentickú prívetivosť k novým návštevníkom.
Aj v dnešnej epizóde ďakujeme všetkým našim Patreonom a Patreonkám, najmä našim ambasádorom Radovanovi, Michalovi s Jankou, Majke, Ivanovi, Braňovi, Filipovi, Andrejovi, Michalovi, Patrikovi a Romanovi. Ste naša veľká motivácia a podpora robiť Všesvet podcast aj naďalej. Ak sa aj vy chcete stať našimi ambasádormi, skočte na stránku patreon.com a hľadajte VŠESVET PODCAST. Veľké ďakujeme!"
S10E18: RÉUNION - Statické pavúky,https://vsesvet.podbean.com/e/reunion/,text/html,"Tue, 06 Feb 2024 06:45:00 +0100","Vybuchujúce sopky, strmé kaňony, žraloky v mori aj pavúky v lesoch môžu naznačovať, že francúzsky ostrov Réunion nepatrí medzi najbezpečnejšie destinácie. V skutočnosti však ide o ešte málo navštevovaný raj v Indickom oceáne, určený najmä nadšencom turistiky, trekov či potápania sa. 
Práve na ostrove medzi Madagaskarom a Mauríciom máte možnosť potápať sa s veľrybami za veľmi priaznivé ceny. Majka Nemcová a Igor Zacher si to vyskúšali rovno trikrát - nie vždy totiž veľryby vidíte zblízka a tieto cicavce sa tiež správajú inak v rôznych častiach dňa. 
Réunion, kam sa dostanete priamymi letmi najmä z Francúzska, a kde funguje aj európsky roaming, je zatiaľ skôr doménou francúzskych turistov. Kde sa pestuje legendárna vanilka, ako chutia najlepšie ananásy, treba si naozaj dávať pozor na žraloky a ako sa dostanete do lávových tunelov? 
Odpovede nájdete v najnovšom Všesvet podcaste. 
Budeme radi, ak nás v tvorbe podcastu podporíte na Patreone. Ak máte akékoľvek otázky, neváhajte nám napísať na vsesvetpodcast@gmail.com."
S10E18: RÉUNION - Statické pavúky,https://mcdn.podbean.com/mf/web/w6a77a/10XX_Reunion_mixdown.mp3,audio/mpeg,"Tue, 06 Feb 2024 06:45:00 +0100","Vybuchujúce sopky, strmé kaňony, žraloky v mori aj pavúky v lesoch môžu naznačovať, že francúzsky ostrov Réunion nepatrí medzi najbezpečnejšie destinácie. V skutočnosti však ide o ešte málo navštevovaný raj v Indickom oceáne, určený najmä nadšencom turistiky, trekov či potápania sa. 
Práve na ostrove medzi Madagaskarom a Mauríciom máte možnosť potápať sa s veľrybami za veľmi priaznivé ceny. Majka Nemcová a Igor Zacher si to vyskúšali rovno trikrát - nie vždy totiž veľryby vidíte zblízka a tieto cicavce sa tiež správajú inak v rôznych častiach dňa. 
Réunion, kam sa dostanete priamymi letmi najmä z Francúzska, a kde funguje aj európsky roaming, je zatiaľ skôr doménou francúzskych turistov. Kde sa pestuje legendárna vanilka, ako chutia najlepšie ananásy, treba si naozaj dávať pozor na žraloky a ako sa dostanete do lávových tunelov? 
Odpovede nájdete v najnovšom Všesvet podcaste. 
Budeme radi, ak nás v tvorbe podcastu podporíte na Patreone. Ak máte akékoľvek otázky, neváhajte nám napísať na vsesvetpodcast@gmail.com."
S10E17: PLAVBA PO CHORVÁTSKU - Planktón vo fekálnom tanku,https://vsesvet.podbean.com/e/s10e17-plavba-po-chorvatsku-plankton-vo-fekalnom-tanku/,text/html,"Wed, 31 Jan 2024 20:08:43 +0100","Skutočnú slobodu vraj nájdeš len na mori a možno pre niekoho prekvapivo sa to dá zažiť aj v tom „slovenskom mori”, teda v Chorvátsku - stačí, ak na začiatku plavby ulejete jeden štamprlík cez palubu Poseidonovi.
V novej epizóde Všesvet podcastu vás zoberieme s kapitánom Štefanom Jancom a prvou vztyčnou dôstojníčkou na palube plachetnice First Love Dominikou Pišťanskou na dobrodružnú plavbu po chorvátskych ostrovoch Murter, Kornati, Dugi či Žut.
V lete 2023 sme sa spoločne rozhodli stráviť takto týždňovú dovolenku, a ak by ste tak tento rok chceli spraviť aj vy, v novej epizóde sa dozviete, ktoré ostrovy sú najlepšie na kotvenie na bóji, ktoré v prístave, kde sa viete ísť dobre najesť, doplniť zásoby, či kde poriadne zažúrovať.
Navyše odpovedáme aj na otázky ohľadom bezpečnosti na mori či rannej morskej toalety. Po čase si totiž aj tak každý uvedomí, že sprcha je prežitok a dôležitejšie ako používať keramický záchod je dohliadať na hladinu fekálneho tanku.
Budeme radi, ak nás v tvorbe podcastu podporíte na Patreone. Ak máte akékoľvek otázky, neváhajte nám napísať na vsesvetpodcast@gmail.com."
S10E17: PLAVBA PO CHORVÁTSKU - Planktón vo fekálnom tanku,https://mcdn.podbean.com/mf/web/xvnsw8/1017_chorvatsko_FINAL.mp3,audio/mpeg,"Wed, 31 Jan 2024 20:08:43 +0100","Skutočnú slobodu vraj nájdeš len na mori a možno pre niekoho prekvapivo sa to dá zažiť aj v tom „slovenskom mori”, teda v Chorvátsku - stačí, ak na začiatku plavby ulejete jeden štamprlík cez palubu Poseidonovi.
V novej epizóde Všesvet podcastu vás zoberieme s kapitánom Štefanom Jancom a prvou vztyčnou dôstojníčkou na palube plachetnice First Love Dominikou Pišťanskou na dobrodružnú plavbu po chorvátskych ostrovoch Murter, Kornati, Dugi či Žut.
V lete 2023 sme sa spoločne rozhodli stráviť takto týždňovú dovolenku, a ak by ste tak tento rok chceli spraviť aj vy, v novej epizóde sa dozviete, ktoré ostrovy sú najlepšie na kotvenie na bóji, ktoré v prístave, kde sa viete ísť dobre najesť, doplniť zásoby, či kde poriadne zažúrovať.
Navyše odpovedáme aj na otázky ohľadom bezpečnosti na mori či rannej morskej toalety. Po čase si totiž aj tak každý uvedomí, že sprcha je prežitok a dôležitejšie ako používať keramický záchod je dohliadať na hladinu fekálneho tanku.
Budeme radi, ak nás v tvorbe podcastu podporíte na Patreone. Ak máte akékoľvek otázky, neváhajte nám napísať na vsesvetpodcast@gmail.com."
S10E16: BANGLADÉŠ - Rovina a bažina,https://vsesvet.podbean.com/e/s10e16-bangladez-rovina-a-bazina/,text/html,"Tue, 23 Jan 2024 12:17:07 +0100","O bicyklových mestách sa hovorí najmä o Kodani či Amsterdame. Nikto si však nespomenie na hlavné mesto Bangladéša Dhaku, čo je podľa Lenky a Davida Haringovcov chyba. Vraj tu totiž jazdí až 800 000 cyklorikší a ďalšie milióny bežných bickylov. To už, v akom sú stave, je druhá vec.
Lenka a David sú na cestách už vyše 11 mesiacov, pričom prešli 19 krajín a aktuálne sa z Ázie presunuli do Afriky. Na Bangladéš ale spomínajú s láskou a podľa nich je určite neobjavenou perlou juhovýchodnej Ázie.
Nekonečné čajové plantáže, milí, všadenápomocní ľudia, farebné cyklorikše, plavba po delte Gangy či kmeň, v ktorom vládne matriarchát. Toto všetko boli pre nich top zážitky z krajiny Bengálskeho zálivu a viac o nich už môžete počúvať v novej časti Všesvet podcastu. 
Budeme radi, ak nás v tvorbe podcastu podporíte na Patreone. Ak máte akékoľvek otázky, neváhajte nám napísať na vsesvetpodcast@gmail.com."
S10E16: BANGLADÉŠ - Rovina a bažina,https://mcdn.podbean.com/mf/web/dvs3v4/1016_Bangladez_FINAL.mp3,audio/mpeg,"Tue, 23 Jan 2024 12:17:07 +0100","O bicyklových mestách sa hovorí najmä o Kodani či Amsterdame. Nikto si však nespomenie na hlavné mesto Bangladéša Dhaku, čo je podľa Lenky a Davida Haringovcov chyba. Vraj tu totiž jazdí až 800 000 cyklorikší a ďalšie milióny bežných bickylov. To už, v akom sú stave, je druhá vec.
Lenka a David sú na cestách už vyše 11 mesiacov, pričom prešli 19 krajín a aktuálne sa z Ázie presunuli do Afriky. Na Bangladéš ale spomínajú s láskou a podľa nich je určite neobjavenou perlou juhovýchodnej Ázie.
Nekonečné čajové plantáže, milí, všadenápomocní ľudia, farebné cyklorikše, plavba po delte Gangy či kmeň, v ktorom vládne matriarchát. Toto všetko boli pre nich top zážitky z krajiny Bengálskeho zálivu a viac o nich už môžete počúvať v novej časti Všesvet podcastu. 
Budeme radi, ak nás v tvorbe podcastu podporíte na Patreone. Ak máte akékoľvek otázky, neváhajte nám napísať na vsesvetpodcast@gmail.com."
