title,link,link_type,published,summary
Mladen Dolar - A Voice and Nothing More,https://podcasters.spotify.com/pod/show/zizekandsoon/episodes/Mladen-Dolar---A-Voice-and-Nothing-More-e2havqb,text/html,"Wed, 20 Mar 2024 13:34:35 GMT","<p>This week, we present the third episode in our series of interviews with the Troika — after <a href=""https://open.spotify.com/episode/20QNPByifaBr3kShEc5oZ3?si=b7ca40abf079427f"" rel=""noopener noreferer"" target=""_blank"">Slavoj Žižek</a>, and <a href=""https://open.spotify.com/episode/3djpZROZzsdDJGCd6itsYL?si=c659b2d12e614773"" rel=""noopener noreferer"" target=""_blank"">Alenka Zupančič</a> . We’re speaking with Mladen Dolar, Professor and Senior Research Fellow at the Department of Philosophy, at the University of Ljubljana.</p>
<p>
Dolar is the co-founder of what has become known as ‘the Ljubljana School’. His principal areas of research are psychoanalysis, modern French philosophy, German Idealism, and art theory. He has lectured extensively at universities in the US and across Europe, and he is the author of over a hundred papers in scholarly journals and volume collections. Apart from ten books in Slovene, his book publications include most notably A Voice and Nothing More and Opera’s Second Death.</p>
<p>
We’re talking the voice, May 68, the early days in Ljubljana, Lacan, rumours and gossip, what’s in a name, and the decline of paternal authority.   </p>
<p>
<a href=""https://www.patreon.com/zizekandsoon"" rel=""noopener noreferer"" target=""_blank"">For access to many more episodes, join our PATREON!  </a>
</p>
<p>Thanks Mladen!</p>
<p><br /></p>"
Mladen Dolar - A Voice and Nothing More,https://anchor.fm/s/1363ff34/podcast/play/84294923/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2024-2-21%2F26f7d114-20c2-8c62-1f14-bfbf4b20e162.mp3,audio/mpeg,"Wed, 20 Mar 2024 13:34:35 GMT","<p>This week, we present the third episode in our series of interviews with the Troika — after <a href=""https://open.spotify.com/episode/20QNPByifaBr3kShEc5oZ3?si=b7ca40abf079427f"" rel=""noopener noreferer"" target=""_blank"">Slavoj Žižek</a>, and <a href=""https://open.spotify.com/episode/3djpZROZzsdDJGCd6itsYL?si=c659b2d12e614773"" rel=""noopener noreferer"" target=""_blank"">Alenka Zupančič</a> . We’re speaking with Mladen Dolar, Professor and Senior Research Fellow at the Department of Philosophy, at the University of Ljubljana.</p>
<p>
Dolar is the co-founder of what has become known as ‘the Ljubljana School’. His principal areas of research are psychoanalysis, modern French philosophy, German Idealism, and art theory. He has lectured extensively at universities in the US and across Europe, and he is the author of over a hundred papers in scholarly journals and volume collections. Apart from ten books in Slovene, his book publications include most notably A Voice and Nothing More and Opera’s Second Death.</p>
<p>
We’re talking the voice, May 68, the early days in Ljubljana, Lacan, rumours and gossip, what’s in a name, and the decline of paternal authority.   </p>
<p>
<a href=""https://www.patreon.com/zizekandsoon"" rel=""noopener noreferer"" target=""_blank"">For access to many more episodes, join our PATREON!  </a>
</p>
<p>Thanks Mladen!</p>
<p><br /></p>"
PREVIEW - Mladen Dolar - A Voice and Nothing More,https://podcasters.spotify.com/pod/show/zizekandsoon/episodes/PREVIEW---Mladen-Dolar---A-Voice-and-Nothing-More-e2h05u8,text/html,"Wed, 13 Mar 2024 20:00:46 GMT","⁠FULL EPISODE HERE⁠
This week, we present the third episode in our series of interviews with the Troika — after Slavoj Žižek, and Alenka Zupančič . We’re speaking with Mladen Dolar, Professor and Senior Research Fellow at the Department of Philosophy, at the University of Ljubljana.   
Dolar is the co-founder of what has become known as ‘the Ljubljana School’. His principal areas of research are psychoanalysis, modern French philosophy, German Idealism, and art theory. He has lectured extensively at universities in the US and across Europe, and he is the author of over a hundred papers in scholarly journals and volume collections. Apart from ten books in Slovene, his book publications include most notably A Voice and Nothing More and Opera’s Second Death. 
We’re talking the voice, may 68, the early days in Ljubljana, Lacan, rumours and gossip, what’s in a name, and the decline of paternal authority.   
Please consider supporting us on ⁠⁠Patreon⁠⁠ for access to extra episodes and the ongoing production of the show!"
PREVIEW - Mladen Dolar - A Voice and Nothing More,https://anchor.fm/s/1363ff34/podcast/play/83940744/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2024-2-12%2Facf63750-a6c8-4346-464d-da50084b2a41.mp3,audio/mpeg,"Wed, 13 Mar 2024 20:00:46 GMT","⁠FULL EPISODE HERE⁠
This week, we present the third episode in our series of interviews with the Troika — after Slavoj Žižek, and Alenka Zupančič . We’re speaking with Mladen Dolar, Professor and Senior Research Fellow at the Department of Philosophy, at the University of Ljubljana.   
Dolar is the co-founder of what has become known as ‘the Ljubljana School’. His principal areas of research are psychoanalysis, modern French philosophy, German Idealism, and art theory. He has lectured extensively at universities in the US and across Europe, and he is the author of over a hundred papers in scholarly journals and volume collections. Apart from ten books in Slovene, his book publications include most notably A Voice and Nothing More and Opera’s Second Death. 
We’re talking the voice, may 68, the early days in Ljubljana, Lacan, rumours and gossip, what’s in a name, and the decline of paternal authority.   
Please consider supporting us on ⁠⁠Patreon⁠⁠ for access to extra episodes and the ongoing production of the show!"
UNLOCKED - Immediacy w/ Anna Kornbluh,https://podcasters.spotify.com/pod/show/zizekandsoon/episodes/UNLOCKED---Immediacy-w-Anna-Kornbluh-e2gnake,text/html,"Wed, 06 Mar 2024 13:27:37 GMT","<p>This week, the fellas are back with Anna Kornbluh. When we spoke with Alenka Zupančič recently, she told us we should interview Anna about her new book Immediacy Or, The style of Too Late Capitalism. So we did!
We’re talking mediation, the negative, Van Gogh immersive experiences, Sartre, Žižek’s early work on film, and the end of futurity.
Enjoy!</p>
<p><br /></p>"
UNLOCKED - Immediacy w/ Anna Kornbluh,https://anchor.fm/s/1363ff34/podcast/play/83650638/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2024-2-6%2F058eab94-7b1e-702e-a702-40dba3d05041.mp3,audio/mpeg,"Wed, 06 Mar 2024 13:27:37 GMT","<p>This week, the fellas are back with Anna Kornbluh. When we spoke with Alenka Zupančič recently, she told us we should interview Anna about her new book Immediacy Or, The style of Too Late Capitalism. So we did!
We’re talking mediation, the negative, Van Gogh immersive experiences, Sartre, Žižek’s early work on film, and the end of futurity.
Enjoy!</p>
<p><br /></p>"
PREVIEW: Immediacy w/ Anna Kornbluh,https://podcasters.spotify.com/pod/show/zizekandsoon/episodes/PREVIEW-Immediacy-w-Anna-Kornbluh-e2geb65,text/html,"Thu, 29 Feb 2024 12:55:20 GMT","<p>This week, the fellas are back with Anna Kornbluh. When we spoke with <a href=""https://open.spotify.com/episode/3djpZROZzsdDJGCd6itsYL?si=382f86b87f2d47ae"" rel=""noopener noreferer"" target=""_blank"">Alenka Zupančič </a>recently, she told us we should interview Anna about her new book <em>Immediacy, or The style of Too Late Capitalism</em>. So we did!  </p>
<p>
We’re talking mediation, the negative, Van Gogh immersive experiences, Sartre, Žižek’s early work on film, and the end of futurity.</p>
<p>
This is a <a href=""https://www.patreon.com/posts/immediacy-w-anna-99452289?utm_medium=clipboard_copy&amp;utm_source=copyLink&amp;utm_campaign=postshare_fan&amp;utm_content=join_link"" rel=""noopener noreferer"" target=""_blank"">PATREON</a> preview of our 90 minute interview, for the full episode and to <a href=""https://www.patreon.com/posts/immediacy-w-anna-99452289?utm_medium=clipboard_copy&amp;utm_source=copyLink&amp;utm_campaign=postshare_fan&amp;utm_content=join_link"" rel=""noopener noreferer"" target=""_blank"">SUPPORT</a> the podcast <a href=""https://www.patreon.com/posts/immediacy-w-anna-99452289?utm_medium=clipboard_copy&amp;utm_source=copyLink&amp;utm_campaign=postshare_fan&amp;utm_content=join_link"" rel=""noopener noreferer"" target=""_blank"">LISTEN HERE!</a>

Our next interview is with <a href=""https://www.patreon.com/posts/rumours-and-96686782?utm_medium=clipboard_copy&amp;utm_source=copyLink&amp;utm_campaign=postshare_fan&amp;utm_content=join_link"" rel=""noopener noreferer"" target=""_blank"">MLADEN DOLAR...</a>

Enjoy!</p>
<p><br /></p>"
PREVIEW: Immediacy w/ Anna Kornbluh,https://anchor.fm/s/1363ff34/podcast/play/83356293/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2024-1-29%2Fd53d01cc-f98a-d564-2cc8-0888850472d9.mp3,audio/mpeg,"Thu, 29 Feb 2024 12:55:20 GMT","<p>This week, the fellas are back with Anna Kornbluh. When we spoke with <a href=""https://open.spotify.com/episode/3djpZROZzsdDJGCd6itsYL?si=382f86b87f2d47ae"" rel=""noopener noreferer"" target=""_blank"">Alenka Zupančič </a>recently, she told us we should interview Anna about her new book <em>Immediacy, or The style of Too Late Capitalism</em>. So we did!  </p>
<p>
We’re talking mediation, the negative, Van Gogh immersive experiences, Sartre, Žižek’s early work on film, and the end of futurity.</p>
<p>
This is a <a href=""https://www.patreon.com/posts/immediacy-w-anna-99452289?utm_medium=clipboard_copy&amp;utm_source=copyLink&amp;utm_campaign=postshare_fan&amp;utm_content=join_link"" rel=""noopener noreferer"" target=""_blank"">PATREON</a> preview of our 90 minute interview, for the full episode and to <a href=""https://www.patreon.com/posts/immediacy-w-anna-99452289?utm_medium=clipboard_copy&amp;utm_source=copyLink&amp;utm_campaign=postshare_fan&amp;utm_content=join_link"" rel=""noopener noreferer"" target=""_blank"">SUPPORT</a> the podcast <a href=""https://www.patreon.com/posts/immediacy-w-anna-99452289?utm_medium=clipboard_copy&amp;utm_source=copyLink&amp;utm_campaign=postshare_fan&amp;utm_content=join_link"" rel=""noopener noreferer"" target=""_blank"">LISTEN HERE!</a>

Our next interview is with <a href=""https://www.patreon.com/posts/rumours-and-96686782?utm_medium=clipboard_copy&amp;utm_source=copyLink&amp;utm_campaign=postshare_fan&amp;utm_content=join_link"" rel=""noopener noreferer"" target=""_blank"">MLADEN DOLAR...</a>

Enjoy!</p>
<p><br /></p>"
Elon Musk Ruined My Sex Life,https://podcasters.spotify.com/pod/show/zizekandsoon/episodes/Elon-Musk-Ruined-My-Sex-Life-e2g31j4,text/html,"Wed, 21 Feb 2024 12:28:50 GMT","<p>This week, the fellas scroll through Zizek's new substack. Tying together three articles, we move from 'tech talk' (Elon Musk, Apple Vision, the profound suffering of microchimpanzees), to a Zizekian theory of sexuality, and finally to the fine art of smoking (and other surplus enjoyments). 

To stay up to date and access many more episodes, join our <a href=""https://patreon.com/zizekandsoon"" rel=""noopener noreferer"" target=""_blank"">Patreon</a> (we'll be speaking to Anna Kornbluh and Mladen Dolar very soon!) </p>
<p><br /></p>
<p>Zizek's Substack articles:</p>
<p><a href=""https://slavoj.substack.com/p/elon-musk-ruined-my-sex-life?utm_source=profile&amp;utm_medium=reader2&amp;fbclid=IwAR19aNYEHb9SsT4rMg_Z4gL_obnQPsIK8YTamgyQmHqqqlf39_ZqQcUm25k"" rel=""noopener noreferer"" target=""_blank"">ELON MUSK RUINED MY SEX LIFE</a></p>
<p><a href=""https://slavoj.substack.com/p/notes-towards-a-hegelian-system-of?utm_source=profile&amp;utm_medium=reader2&amp;fbclid=IwAR0-O2tsLlw2rfx_vQW2iyBANAVvkBJ_bEGJa3aCo17fNFDkEyXrTqqpP7k"" rel=""noopener noreferer"" target=""_blank"">NOTES TOWARDS A HEGELIAN SYSTEM OF SEXUALITY</a></p>
<p><a href=""https://slavoj.substack.com/p/smoking-considered-one-of-the-fine?utm_source=profile&amp;utm_medium=reader2&amp;fbclid=IwAR2vAo_nhRwXhaSlfSE8rpHtCz4MZ9f1MsijQvnoM1Ho1tcUnwRPcjHTMRg"" rel=""noopener noreferer"" target=""_blank"">SMOKING CONSIDERED AS ONE OF THE FINE ARTS</a></p>
<p><br /></p>"
Elon Musk Ruined My Sex Life,https://anchor.fm/s/1363ff34/podcast/play/82986020/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2024-1-21%2F8bb9c5f7-b2e7-6560-5f3e-44d647eb2aa4.mp3,audio/mpeg,"Wed, 21 Feb 2024 12:28:50 GMT","<p>This week, the fellas scroll through Zizek's new substack. Tying together three articles, we move from 'tech talk' (Elon Musk, Apple Vision, the profound suffering of microchimpanzees), to a Zizekian theory of sexuality, and finally to the fine art of smoking (and other surplus enjoyments). 

To stay up to date and access many more episodes, join our <a href=""https://patreon.com/zizekandsoon"" rel=""noopener noreferer"" target=""_blank"">Patreon</a> (we'll be speaking to Anna Kornbluh and Mladen Dolar very soon!) </p>
<p><br /></p>
<p>Zizek's Substack articles:</p>
<p><a href=""https://slavoj.substack.com/p/elon-musk-ruined-my-sex-life?utm_source=profile&amp;utm_medium=reader2&amp;fbclid=IwAR19aNYEHb9SsT4rMg_Z4gL_obnQPsIK8YTamgyQmHqqqlf39_ZqQcUm25k"" rel=""noopener noreferer"" target=""_blank"">ELON MUSK RUINED MY SEX LIFE</a></p>
<p><a href=""https://slavoj.substack.com/p/notes-towards-a-hegelian-system-of?utm_source=profile&amp;utm_medium=reader2&amp;fbclid=IwAR0-O2tsLlw2rfx_vQW2iyBANAVvkBJ_bEGJa3aCo17fNFDkEyXrTqqpP7k"" rel=""noopener noreferer"" target=""_blank"">NOTES TOWARDS A HEGELIAN SYSTEM OF SEXUALITY</a></p>
<p><a href=""https://slavoj.substack.com/p/smoking-considered-one-of-the-fine?utm_source=profile&amp;utm_medium=reader2&amp;fbclid=IwAR2vAo_nhRwXhaSlfSE8rpHtCz4MZ9f1MsijQvnoM1Ho1tcUnwRPcjHTMRg"" rel=""noopener noreferer"" target=""_blank"">SMOKING CONSIDERED AS ONE OF THE FINE ARTS</a></p>
<p><br /></p>"
